gene_name	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
TP53	4	0	0	0	12	1	0	0	0	17	14	14
TTN	0	0	0	0	29	4	0	0	0	33	12	12
MUC16	0	0	0	0	15	0	0	0	0	15	10	10
EYS	0	0	0	0	6	2	0	0	0	8	8	8
GRM3	0	0	0	0	9	0	0	0	0	9	7	7
CUBN	0	0	0	0	7	0	0	0	0	7	7	7
PLCL1	0	0	0	0	7	0	0	0	0	7	7	7
CCDC168	0	0	0	0	7	3	0	0	0	10	6	6
SPTA1	0	0	0	0	8	0	0	0	0	8	6	6
MAGEC1	0	0	0	0	3	3	0	0	0	6	6	6
MYH13	0	0	0	0	6	0	0	0	0	6	6	6
RELN	0	0	0	0	6	0	0	0	0	6	6	6
ROBO4	3	0	0	0	3	0	0	0	0	6	6	6
SI	0	0	0	0	6	0	0	0	0	6	6	6
TMEM132C	0	0	0	0	4	2	0	0	0	6	6	6
GRM1	0	0	0	0	7	0	0	0	0	7	5	5
SORCS1	0	0	0	0	7	0	0	0	0	7	5	5
DPP6	0	0	0	0	5	1	0	0	0	6	5	5
MDN1	0	0	0	0	6	0	0	0	0	6	5	5
ACHE	0	0	0	0	5	0	0	0	0	5	5	5
ADGRB1	0	0	0	0	5	0	0	0	0	5	5	5
ALMS1	0	0	0	0	2	3	0	0	0	5	5	5
COL6A3	0	0	0	0	5	0	0	0	0	5	5	5
FAT2	0	0	0	0	5	0	0	0	0	5	5	5
FCRL2	0	0	0	0	5	0	0	0	0	5	5	5
FCRL5	0	0	0	0	5	0	0	0	0	5	5	5
FRS3	0	0	0	0	5	0	0	0	0	5	5	5
FSCB	0	0	0	0	5	0	0	0	0	5	5	5
KCNK12	0	0	0	0	5	0	0	0	0	5	5	5
KL	0	0	0	0	5	0	0	0	0	5	5	5
MCM4	0	0	0	0	2	3	0	0	0	5	5	5
MUC17	0	0	0	0	5	0	0	0	0	5	5	5
OR5D13	0	0	0	0	5	0	0	0	0	5	5	5
PKHD1L1	0	0	0	0	5	0	0	0	0	5	5	5
PLXNC1	0	0	0	0	5	0	0	0	0	5	5	5
SCN11A	0	0	0	0	5	0	0	0	0	5	5	5
SEMA6D	0	0	0	0	5	0	0	0	0	5	5	5
STAB2	0	0	0	0	5	0	0	0	0	5	5	5
TBX5	0	0	0	0	5	0	0	0	0	5	5	5
TNFRSF13B	0	0	0	0	5	0	0	0	0	5	5	5
TNR	0	0	0	0	3	2	0	0	0	5	5	5
USH2A	0	0	0	0	5	0	0	0	0	5	5	5
ZIC1	0	0	0	0	4	1	0	0	0	5	5	5
ZNF845	3	0	0	0	2	0	0	0	0	5	5	5
CSMD3	0	0	0	0	6	1	0	0	0	7	4	4
FRAS1	0	0	0	0	6	0	0	0	0	6	4	4
ADGRL3	0	0	0	0	5	0	0	0	0	5	4	4
