Reference	Disease	Cluster	Gene
Deprez et al	Epithelial	Cycling Basal	PCLAF
Deprez et al	Epithelial	Cycling Basal	PTTG1
Deprez et al	Epithelial	Cycling Basal	TYMS
Deprez et al	Epithelial	Cycling Basal	CENPW
Deprez et al	Epithelial	Cycling Basal	TK1
Deprez et al	Epithelial	Cycling Basal	ZWINT
Deprez et al	Epithelial	Cycling Basal	CDK1
Deprez et al	Epithelial	Cycling Basal	CENPU
Deprez et al	Epithelial	Cycling Basal	UBE2T
Deprez et al	Epithelial	Cycling Basal	NUSAP1
Deprez et al	Epithelial	Cycling Basal	CENPK
Deprez et al	Epithelial	Cycling Basal	TOP2A
Deprez et al	Epithelial	Cycling Basal	MND1
Deprez et al	Epithelial	Cycling Basal	MAD2L1
Deprez et al	Epithelial	Cycling Basal	UBE2C
Deprez et al	Epithelial	Cycling Basal	GINS2
Deprez et al	Epithelial	Cycling Basal	RAD51AP1
Deprez et al	Epithelial	Cycling Basal	BIRC5
Deprez et al	Epithelial	Cycling Basal	CENPF
Deprez et al	Epithelial	Cycling Basal	MKI67
Deprez et al	Epithelial	Cycling Basal	CDT1
Deprez et al	Epithelial	Cycling Basal	LMNB1
Deprez et al	Epithelial	Cycling Basal	CDKN3
Deprez et al	Epithelial	Cycling Basal	PBK
Deprez et al	Epithelial	Cycling Basal	RRM2
Deprez et al	Epithelial	Cycling Basal	CENPN
Deprez et al	Epithelial	Cycling Basal	NMU
Deprez et al	Epithelial	Cycling Basal	CLSPN
Deprez et al	Epithelial	Cycling Basal	CCNA2
Deprez et al	Epithelial	Cycling Basal	ASF1B
Deprez et al	Epithelial	Cycling Basal	TPX2
Deprez et al	Epithelial	Cycling Basal	SGO1
Deprez et al	Epithelial	Cycling Basal	CCNB2
Deprez et al	Epithelial	Cycling Basal	CDC20
Deprez et al	Epithelial	Cycling Basal	FAM111B
Deprez et al	Epithelial	Cycling Basal	NUF2
Deprez et al	Epithelial	Cycling Basal	TACC3
Deprez et al	Epithelial	Cycling Basal	NDC80
Deprez et al	Epithelial	Cycling Basal	SPC25
Deprez et al	Epithelial	Cycling Basal	ASPM
Deprez et al	Epithelial	Cycling Basal	KIFC1
Deprez et al	Epithelial	Cycling Basal	CDCA3
Deprez et al	Epithelial	Cycling Basal	AURKB
Deprez et al	Epithelial	Cycling Basal	ANLN
Deprez et al	Epithelial	Cycling Basal	HMMR
Deprez et al	Epithelial	Cycling Basal	SPC24
Deprez et al	Epithelial	Cycling Basal	ARHGAP11A
Deprez et al	Epithelial	Cycling Basal	NCAPG
Deprez et al	Epithelial	Cycling Basal	MELK
Deprez et al	Epithelial	Cycling Basal	FOXM1
Deprez et al	Epithelial	Basal	KRT17
Deprez et al	Epithelial	Basal	BCAM
Deprez et al	Epithelial	Basal	KRT15
Deprez et al	Epithelial	Basal	DLK2
Deprez et al	Epithelial	Basal	LAMB3
Deprez et al	Epithelial	Basal	NPPC
Deprez et al	Epithelial	Basal	S100A2
Deprez et al	Epithelial	Basal	KRT5
Deprez et al	Epithelial	Basal	EMP3
Deprez et al	Epithelial	Basal	LGALS1
Deprez et al	Epithelial	Basal	DST
Deprez et al	Epithelial	Basal	FHL2
Deprez et al	Epithelial	Basal	ZFP36L2
Deprez et al	Epithelial	Basal	SPRY1
Deprez et al	Epithelial	Basal	EFEMP1
