Reference	Disease	Cluster	Gene
Montoro et al	Epithelial	Basal	Aqp3
Montoro et al	Epithelial	Basal	Icam1
Montoro et al	Epithelial	Basal	Krt17
Montoro et al	Epithelial	Basal	Krt5
Montoro et al	Epithelial	Basal	Krt15
Montoro et al	Epithelial	Basal	Sfn
Montoro et al	Epithelial	Basal	Perp
Montoro et al	Epithelial	Basal	Fxyd3
Montoro et al	Epithelial	Basal	Sdc1
Montoro et al	Epithelial	Basal	Gstm2
Montoro et al	Epithelial	Basal	F3
Montoro et al	Epithelial	Basal	Epas1
Montoro et al	Epithelial	Basal	Abi3bp
Montoro et al	Epithelial	Basal	Adh7
Montoro et al	Epithelial	Basal	Id1
Montoro et al	Epithelial	Basal	Upk1b
Montoro et al	Epithelial	Basal	Hspa1a
Montoro et al	Epithelial	Basal	Dapl1
Montoro et al	Epithelial	Basal	Hspb1
Montoro et al	Epithelial	Basal	Zfp296
Montoro et al	Epithelial	Basal	Dcn
Montoro et al	Epithelial	Basal	Rplp0
Montoro et al	Epithelial	Basal	Fam107b
Montoro et al	Epithelial	Basal	Tacstd2
Montoro et al	Epithelial	Basal	Rpl13
Montoro et al	Epithelial	Basal	Sat1
Montoro et al	Epithelial	Basal	Sult1d1
Montoro et al	Epithelial	Basal	Hpgd
Montoro et al	Epithelial	Basal	S100a14
Montoro et al	Epithelial	Basal	Rps18
Montoro et al	Epithelial	Basal	Emp1
Montoro et al	Epithelial	Basal	Sgk1
Montoro et al	Epithelial	Basal	Gsta4
Montoro et al	Epithelial	Basal	Rps4x
Montoro et al	Epithelial	Basal	Rps5
Montoro et al	Epithelial	Basal	Oat
Montoro et al	Epithelial	Basal	Rps8
Montoro et al	Epithelial	Basal	S100a16
Montoro et al	Epithelial	Basal	Phlda3
Montoro et al	Epithelial	Basal	Dusp1
Montoro et al	Epithelial	Basal	Crlf1
Montoro et al	Epithelial	Basal	Sh3bgrl3
Montoro et al	Epithelial	Basal	Rps2
Montoro et al	Epithelial	Basal	Junb
Montoro et al	Epithelial	Basal	Pcolce
Montoro et al	Epithelial	Basal	Cotl1
Montoro et al	Epithelial	Basal	Sord
Montoro et al	Epithelial	Basal	Igfbp7
Montoro et al	Epithelial	Basal	Rpl8
Montoro et al	Epithelial	Basal	Rpl4
Montoro et al	Epithelial	Club	Scgb1a1
Montoro et al	Epithelial	Club	Bpifa1
Montoro et al	Epithelial	Club	Scgb3a2
Montoro et al	Epithelial	Club	Sftpd
Montoro et al	Epithelial	Club	Alox15
Montoro et al	Epithelial	Club	Pon1
Montoro et al	Epithelial	Club	Cyp4a12b
Montoro et al	Epithelial	Club	Wfdc1
Montoro et al	Epithelial	Club	Mgst1
Montoro et al	Epithelial	Club	Akr1c18
Montoro et al	Epithelial	Club	Sftpa1
Montoro et al	Epithelial	Club	Lypd2
Montoro et al	Epithelial	Club	Ces1f
Montoro et al	Epithelial	Club	Gsto1
Montoro et al	Epithelial	Club	Tst
Montoro et al	Epithelial	Club	Ffar4
Montoro et al	Epithelial	Club	Hp
Montoro et al	Epithelial	Club	Chad
Montoro et al	Epithelial	Club	Selenbp1
Montoro et al	Epithelial	Club	Mgat3
Montoro et al	Epithelial	Club	Gabrp
Montoro et al	Epithelial	Ciliated	AU040972
Montoro et al	Epithelial	Ciliated	Tmem212
Montoro et al	Epithelial	Ciliated	Dynlrb2
Montoro et al	Epithelial	Ciliated	Ccdc153
Montoro et al	Epithelial	Ciliated	Tppp3
Montoro et al	Epithelial	Ciliated	1110017D15Rik
Montoro et al	Epithelial	Ciliated	Fam183b
Montoro et al	Epithelial	Ciliated	Sec14l3
Montoro et al	Epithelial	Ciliated	Pltp
Montoro et al	Epithelial	Ciliated	Rsph1
Montoro et al	Epithelial	Ciliated	Mlf1
Montoro et al	Epithelial	Ciliated	2410004P03Rik
Montoro et al	Epithelial	Ciliated	Tekt1
Montoro et al	Epithelial	Ciliated	Cdh26
Montoro et al	Epithelial	Ciliated	Cdhr3
Montoro et al	Epithelial	Ciliated	Nme5
Montoro et al	Epithelial	Ciliated	Ccdc17
Montoro et al	Epithelial	Ciliated	Adam8
Montoro et al	Epithelial	Ciliated	Cyp2s1
Montoro et al	Epithelial	Ciliated	1700007K13Rik
Montoro et al	Epithelial	Ciliated	Tm4sf1
Montoro et al	Epithelial	Ciliated	Elof1
Montoro et al	Epithelial	Ciliated	Ly6a
Montoro et al	Epithelial	Ciliated	Sntn
Montoro et al	Epithelial	Ciliated	Ppil6
Montoro et al	Epithelial	Ciliated	Ifitm1
Montoro et al	Epithelial	Ciliated	Tctex1d4
Montoro et al	Epithelial	Ciliated	Aldh3b1
Montoro et al	Epithelial	Ciliated	Lrrc48
