p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.93544477363644	0.809	0.21	0	Basal Tgm2+	Dcn
0	1.51143914987139	0.873	0.359	0	Basal Tgm2+	Dlk2
0	1.5908225785254	0.977	0.535	0	Basal Tgm2+	Apoe
0	2.01025154388288	0.7	0.262	0	Basal Tgm2+	Rbp1
0	1.27514638052255	0.604	0.169	0	Basal Tgm2+	Cadm2
0	1.88794452741756	0.927	0.525	0	Basal Tgm2+	Hpgd
0	1.52968543077468	0.804	0.426	0	Basal Tgm2+	Acaa1b
0	1.77960821151177	0.887	0.517	0	Basal Tgm2+	1600014C10Rik
0	1.66903637735554	0.468	0.124	0	Basal Tgm2+	Eya4
0	1.08119017556998	0.995	0.675	0	Basal Tgm2+	Bcam
0	3.29131863176664	0.379	0.067	0	Basal Tgm2+	Ang2
0	1.21040700521618	0.944	0.647	0	Basal Tgm2+	Tgm2
0	2.4562527010367	0.345	0.073	0	Basal Tgm2+	Tmprss11a
0	1.05168428017891	0.956	0.698	0	Basal Tgm2+	2410006H16Rik
0	3.48787303180413	0.281	0.027	0	Basal Tgm2+	Nrcam
0	4.65543401263393	0.261	0.013	0	Basal Tgm2+	Ogn
0	1.3123187236388	0.996	0.749	0	Basal Tgm2+	Abi3bp
0	1.06297157918581	0.956	0.712	0	Basal Tgm2+	Efemp1
0	1.10793135078909	0.978	0.819	0	Basal Tgm2+	Oat
0	0.883787088587325	0.993	0.868	0	Basal Tgm2+	Gas5
0	0.740991105971398	0.997	0.903	0	Basal Tgm2+	Eef1b2
0	0.737920298653044	0.998	0.905	0	Basal Tgm2+	Heph
0	0.69891232320533	0.999	0.929	0	Basal Tgm2+	Rack1
0	0.817596204045741	0.999	0.931	0	Basal Tgm2+	Rpl9-ps6
0	0.743784502574842	0.999	0.932	0	Basal Tgm2+	Rpl3
0	0.74071756716849	0.998	0.931	0	Basal Tgm2+	Rpl36a
0	0.69140395397928	0.999	0.935	0	Basal Tgm2+	Rpl7
0	0.722857517365138	0.999	0.935	0	Basal Tgm2+	Rpl12
0	0.744858138299937	0.999	0.936	0	Basal Tgm2+	Rps18
0	0.715089356189683	1	0.943	0	Basal Tgm2+	Rps3
0	0.849565227280495	0.999	0.944	0	Basal Tgm2+	Rps7
0	0.855063066721672	0.999	0.944	0	Basal Tgm2+	Rps4x
0	0.680589576115104	0.999	0.948	0	Basal Tgm2+	Rps6
0	0.680224777210801	1	0.952	0	Basal Tgm2+	Rps21
0	0.7721162354687	0.999	0.951	0	Basal Tgm2+	Rps15a
0	0.631990085341037	1	0.953	0	Basal Tgm2+	Rpl30
0	0.718454254114744	0.999	0.953	0	Basal Tgm2+	Rps5
0	0.688165918899431	1	0.956	0	Basal Tgm2+	Rpl34
0	0.710955918683907	1	0.956	0	Basal Tgm2+	Rpl8
0	0.741916748648625	1	0.96	0	Basal Tgm2+	Rps3a1
0	0.684897949912869	1	0.96	0	Basal Tgm2+	Rps14
0	0.739011712657875	0.999	0.959	0	Basal Tgm2+	Rpl39
0	0.623077909504775	1	0.961	0	Basal Tgm2+	Rps27a
0	0.712670048855634	1	0.961	0	Basal Tgm2+	Rpl10a
0	0.60106288735758	0.999	0.961	0	Basal Tgm2+	Rps28
0	0.74386710608435	1	0.963	0	Basal Tgm2+	Rps19
0	0.640382794771955	0.999	0.962	0	Basal Tgm2+	Rpl13a
0	0.66492783447843	1	0.964	0	Basal Tgm2+	Rpl35
0	0.624949848557774	1	0.964	0	Basal Tgm2+	Rpl6
0	0.675685608663536	1	0.964	0	Basal Tgm2+	Rpl26
