MD6812_Left_lobe_Cl.10	MD6812_Left_lobe_Cl.11	MD6812_Left_lobe_Cl.12	MD6812_Left_lobe_Cl.14	MD6812_Left_lobe_Cl.17	MD6812_Left_lobe_Cl.18	MD6812_Left_lobe_Cl.19	MD6812_Left_lobe_Cl.2	MD6812_Left_lobe_Cl.21	MD6812_Left_lobe_Cl.22	MD6812_Left_lobe_Cl.23	MD6812_Left_lobe_Cl.4	MD6812_Left_lobe_Cl.5	MD6812_Left_lobe_Cl.6	MD6812_Left_lobe_Cl.7	MD6812_Left_lobe_Cl.8	MD6812_Left_lobe_Cl.9	MD6812_Right_lobe_Cl.1	MD6812_Right_lobe_Cl.10	MD6812_Right_lobe_Cl.11	MD6812_Right_lobe_Cl.12	MD6812_Right_lobe_Cl.15	MD6812_Right_lobe_Cl.19	MD6812_Right_lobe_Cl.20	MD6812_Right_lobe_Cl.3	MD6812_Right_lobe_Cl.4	MD6812_Right_lobe_Cl.5	MD6812_Right_lobe_Cl.8	MD6812_Right_lobe_Cl.9	MD7047_Left_lobe_Cl.1	MD7047_Left_lobe_Cl.10	MD7047_Left_lobe_Cl.100	MD7047_Left_lobe_Cl.11	MD7047_Left_lobe_Cl.12	MD7047_Left_lobe_Cl.13	MD7047_Left_lobe_Cl.15	MD7047_Left_lobe_Cl.16	MD7047_Left_lobe_Cl.17	MD7047_Left_lobe_Cl.18	MD7047_Left_lobe_Cl.19	MD7047_Left_lobe_Cl.22	MD7047_Left_lobe_Cl.23	MD7047_Left_lobe_Cl.24	MD7047_Left_lobe_Cl.26	MD7047_Left_lobe_Cl.29	MD7047_Left_lobe_Cl.3	MD7047_Left_lobe_Cl.32	MD7047_Left_lobe_Cl.33	MD7047_Left_lobe_Cl.37	MD7047_Left_lobe_Cl.40	MD7047_Left_lobe_Cl.41	MD7047_Left_lobe_Cl.43	MD7047_Left_lobe_Cl.46	MD7047_Left_lobe_Cl.47	MD7047_Left_lobe_Cl.48	MD7047_Left_lobe_Cl.49	MD7047_Left_lobe_Cl.5	MD7047_Left_lobe_Cl.50	MD7047_Left_lobe_Cl.51	MD7047_Left_lobe_Cl.53	MD7047_Left_lobe_Cl.59	MD7047_Left_lobe_Cl.63	MD7047_Left_lobe_Cl.65	MD7047_Left_lobe_Cl.7	MD7047_Left_lobe_Cl.74	MD7047_Left_lobe_Cl.77	MD7047_Left_lobe_Cl.8	MD7047_Left_lobe_Cl.80	MD7047_Left_lobe_Cl.89	MD7047_Left_lobe_Cl.9	MD7047_Left_lobe_Cl.92	MD7047_Right_lobe_Cl.1	MD7047_Right_lobe_Cl.10	MD7047_Right_lobe_Cl.100	MD7047_Right_lobe_Cl.11	MD7047_Right_lobe_Cl.12	MD7047_Right_lobe_Cl.13	MD7047_Right_lobe_Cl.14	MD7047_Right_lobe_Cl.15	MD7047_Right_lobe_Cl.16	MD7047_Right_lobe_Cl.17	MD7047_Right_lobe_Cl.18	MD7047_Right_lobe_Cl.19	MD7047_Right_lobe_Cl.20	MD7047_Right_lobe_Cl.21	MD7047_Right_lobe_Cl.23	MD7047_Right_lobe_Cl.25	MD7047_Right_lobe_Cl.28	MD7047_Right_lobe_Cl.3	MD7047_Right_lobe_Cl.30	MD7047_Right_lobe_Cl.34	MD7047_Right_lobe_Cl.39	MD7047_Right_lobe_Cl.40	MD7047_Right_lobe_Cl.42	MD7047_Right_lobe_Cl.5	MD7047_Right_lobe_Cl.56	MD7047_Right_lobe_Cl.59	MD7047_Right_lobe_Cl.62	MD7047_Right_lobe_Cl.76	MD7047_Right_lobe_Cl.79	MD7047_Right_lobe_Cl.8	MD7047_Right_lobe_Cl.84	MD7047_Right_lobe_Cl.9	MD7047_Right_lobe_Cl.90	MD7047_Right_lobe_Cl.95
AC>CA	0.013530447031643	0.118261026582827	0.00998232195682806	0.0447467283025254	0.00387482716402702	0.0405077402898871	8.39966319167286e-05	0.0033565964145092	0.000593536587237649	0.00467911239950603	0.0387816092968059	0.000257093706566999	0.00431523780170819	0.000692708527506575	0.000579283735520607	0.014323107384693	0.00747500066707371	0.0033565964145092	0.000559150336591639	8.39966319167286e-05	0.00387482716402702	0.000472087767856816	0.0264073354529574	0.000559150336591639	0.0150666942362828	0.000236043883928408	0.00366484566356117	0.00194456739160479	3.90707543572053e-05	0.0232888943898448	0.00133685765304215	0.000559150336591639	0.023850171424592	0.0169928818399261	0.0298239502402021	0.0102930528193142	0.0466989243519668	0.0102999879275415	0.0202102689968044	0.0617434834935915	0.0679524101746189	0.0540362407911023	0.0190980029531817	0.0287254058261704	0.000151498843425899	0.0319702181148725	0.000559150336591639	0.0506690647441785	0.0312034332216305	0.00873914575132254	0.000884641955108644	0.0435261512072429	0.0204849831640993	0.00163556073330403	0.0403865836380378	0.0153678082824813	0.0580461653886355	0.0120700341037269	0.0125936147142099	0.00429139467053471	2.28426675801905e-05	0.000819942873096609	0.0268100465395803	0.013344888473524	0.0034005655730677	0.00153719684468221	0.0593911178337536	4.90890151524281e-07	0.00367108219276977	0.0187005754232582	0.00370738400785455	0.0324558731880603	0.079099746269716	0.00366484566356117	0.00181888315373633	0.0555604426117288	0.0115492519875252	0.0128904439423762	0.00370086496214295	0.0579784162011668	0.00242185720079306	0.00081228447436944	0.115483629061101	7.07608971103371e-06	0.0112603302235909	0.0170065546134348	0.0177813415830609	0.00100862974558499	0.00938399659477427	0.0120226649068836	0.00719111496528903	0.000969909692026506	0.0234602318483633	0.0918593211491147	0.00727369577096078	0.00618665396308191	2.28426675801905e-05	9.64348286863603e-05	0.000118240365738569	0.0120665526845398	0.0468398578750229	0.000272362316496263	0.0402755799643797	0.00466465783265591	0.00148221158620933
AC>CG	0.000211692322371288	0.0168667153853047	0.000530867594870202	0.00443853981482073	0.000836528107374057	0.00605917880282925	1.46677611059917e-05	0.000475313652857506	8.40482466599297e-05	0.000943238933195097	0.00473129242353649	4.22541220333855e-05	0.000931607413265973	9.80915725082302e-05	8.20299596284654e-05	0.00189060631506957	0.000167168223515787	0.000475313652857506	7.91789527728305e-05	1.46677611059917e-05	0.000836528107374057	8.517402536613e-05	0.00173692596796398	7.91789527728305e-05	0.00166581691745162	4.2587012683065e-05	0.00079119565260059	0.000275362097789291	5.53264696737067e-06	0.0025369960739814	1.60164588383794e-05	7.91789527728305e-05	0.00354765745238729	0.00140849832360803	0.00494844802386227	0.000446639842385365	0.00818011567173446	0.000704765360210106	0.00244116090698261	0.00635129293161028	0.00585708217023277	0.00771801797696363	0.00370065945305493	0.00197891883010314	2.14531208938864e-05	0.00410775347521039	7.91789527728305e-05	0.00604354435207975	0.00359853303449618	0.00150897489898981	7.38335091990461e-05	0.00310137424277073	0.00340722892251792	0.00023499982919065	0.00193281869550851	0.000702077029455888	0.00751602851640988	0.00255596456946389	0.00137301135361079	0.000569014517260396	4.3992293755935e-06	9.99365333949961e-05	0.00233564431994508	0.00178606859628478	0.000182009411841185	0.000217506143360206	0.00659526636007135	1.02476132196441e-07	0.000792542043485809	0.00274917239274405	0.000800084980056936	0.00241220149783067	0.00717568965678866	0.00079119565260059	0.00025756447578456	0.00540826029834836	0.00211013519122138	0.00174057314349571	0.00079897178154675	0.00864562308864253	0.000214101889162285	4.2757422037459e-05	0.0124848963595388	1.0042523291146e-06	0.00122085733402535	0.00215941443625749	0.000242483495999229	0.00014335609663748	0.000897953347857773	0.000164456899196665	0.00128414728297506	0.000149596163488078	0.00373207679290382	0.0110872455803702	0.00115263149556223	0.000104719619218884	4.3992293755935e-06	1.63592713400572e-05	1.69794303049371e-05	0.00107858568683857	0.00567002403435325	5.11268728336326e-05	0.00497367562764009	0.000684158477774263	0.000210166944155299
AC>CT	0.000229554243332142	0.0707908698249653	0.00180672155306054	0.0178023109082903	0.00365754713613765	0.0255257992038726	6.09906463600689e-05	0.00185225320391894	0.000327528218942819	0.00406346830253285	0.0194484497304024	0.000181109850291728	0.00407326185021053	0.00038225375678465	0.000319663141644947	0.00786826230293586	0.000357265966923092	0.00185225320391894	0.000308553032454948	6.09906463600689e-05	0.00365754713613765	0.000357231779718272	0.00617262668528198	0.000308553032454948	0.00664910664435079	0.000178615889859136	0.00345934029924933	0.00107306054602425	2.15602118934651e-05	0.010193378869412	2.68663180514752e-18	0.000308553032454948	0.0148594765880514	0.00546752363735031	0.0209957414298902	0.00143325809312167	0.0351154540515414	0.00250303036535611	0.00994824684354288	0.0253520026689153	0.0231521010182838	0.0318266837716387	0.0157976047893501	0.00730812416499357	8.36008216277221e-05	0.0171144543673026	0.000308553032454948	0.0249116509791738	0.0148463852359795	0.00625539380434556	0.000274853546613165	0.0117367412123338	0.0145755624930574	0.000920462998988822	0.00660025581613364	0.0022049989146188	0.0313867996574759	0.0111302902809318	0.00558657787102676	0.00222085298980121	1.87524003156879e-05	0.000395760722921283	0.00914534612288485	0.00750673861065609	0.000605797848130905	0.000858980221555301	0.0269058466514706	4.44882978012647e-07	0.00346522711653968	0.0116416499688119	0.00349794045306082	0.00906664083530221	0.0283571999886449	0.00345934029924933	0.00100370486439757	0.0216861572538122	0.00904395431533099	0.0073293834526154	0.00349333982407886	0.0362665392527085	0.000797035172844501	0.000142603206769685	0.0509475170863702	3.9165684500379e-06	0.00502296033850781	0.00899172015580881	0.000125375282876773	0.000559375233036535	0.00363635314803656	8.69178542254003e-05	0.00537150024876376	0.000599889124536182	0.015871544071476	0.0451617774284867	0.00484579845371946	0.000141650095948602	1.87524003156879e-05	6.74858516898143e-05	6.66654016638979e-05	0.004104644135824	0.0235394235912238	0.000216588274191192	0.0205961081023602	0.00274506027746526	0.000819383970327666
AC>GA	0.0141851327678092	0.0614339165473326	0.00852772281882015	0.0309519356769423	0.00101035212968555	0.0198061398941556	2.47893268703505e-05	0.00108293110599494	0.000191491366101489	0.00127581865045986	0.0229890627995882	0.000118034847720296	0.0011251881744641	0.000223486984786792	0.000186893000802998	0.00803445771777868	0.0076295268361792	0.00108293110599494	0.000180397407863871	2.47893268703505e-05	0.00101035212968555	0.000137044236474763	0.0205522407849366	0.000180397407863871	0.00908831422446872	6.85221182373814e-05	0.000955599944050063	0.000627371377437456	1.26053090699888e-05	0.0146321155798131	0.00142081489695302	0.000180397407863871	0.0113689282297855	0.0127942564516512	0.0124085414024167	0.00936470669702826	0.0188834827611653	0.00776142624359072	0.0117245898037321	0.0405642724453546	0.0514634842350886	0.0252988953802103	0.00533160961240916	0.0228599945034114	4.88777290468957e-05	0.0187157828601757	0.000180397407863871	0.0312499676481631	0.020090583127293	0.00259335240589663	0.000606133018201896	0.0351276970279693	0.00904332117218113	0.000524849180228765	0.0367114462282647	0.0133753250732965	0.0339701947288036	0.00318872632991396	0.00823882487711191	0.00168835067258482	6.39953827869529e-06	0.000414855178184464	0.0197112017552215	0.00768528103970219	0.00282851186885175	0.000551534933911446	0.0383973101946569	1.30915014767102e-07	0.000957226104469874	0.00971511879146617	0.000966936785929519	0.0251036625803285	0.0573091095792658	0.000955599944050063	0.000586822156168946	0.0391140830589198	0.00411896788003123	0.00739826049987349	0.000964991891998023	0.0277657725447186	0.00156057466867535	0.000684314536974929	0.0769565567474682	2.28107954084459e-06	0.00767634773936296	0.0100888582240643	0.0187298756995065	0.000324971890423358	0.00688351660051464	0.0126611267553859	0.00209859428355256	0.000302713925931307	0.0108635514858467	0.0532440818422355	0.00312624683805291	0.00645482755058987	6.39953827869529e-06	2.88603897309232e-05	3.87733164297463e-05	0.00810426867924299	0.0291589679650559	7.74096414866921e-05	0.0242118013586796	0.00170648331803349	0.00047797171049363
AC>GG	2.37598814666898e-17	0.0248392516952941	0.00330742735444252	0.00894958745927242	2.00984025797663e-17	0.00942139360748615	7.6633433520477e-05	0.00551265834499685	0.000974786365901246	0.00147966698481092	0.0103081123931478	7.96449345447656e-06	2.23827755135331e-17	0.00113765999043051	0.00095137839775282	0.00304204290817282	6.87053691169541e-05	0.00551265834499685	0.000918312596592106	7.6633433520477e-05	2.00984025797663e-17	0.000370200672923335	0.0137339874755797	0.000918312596592106	0.00771771089580699	0.000185100336461667	1.90092461988453e-17	0.00319363257745312	6.41672973019795e-05	0.00882675705351139	2.26361646082742e-18	0.000918312596592106	0.00819065238551971	0.00375368987757104	0.00876782455310874	0.00216079154169724	0.00551254518987867	0.00640855915591585	0.00788142320256739	0.0212804601268313	0.00656299646646554	0.0308005014622896	0.00933831758367584	0.0088368058815322	0.000248811969130125	0.00435911170422335	0.000918312596592106	0.00867973655115459	0.00276961431301162	0.00835075704777226	0.000608549476515318	0.00701797478687182	0.0020782101341041	0.00261108092899512	0.00365197299980839	0.00656249676969877	0.00636855464974091	0.00110125378297119	0.00241410402209115	0.00596600774920474	1.176721235249e-05	0.00072829800312087	0.00612502107662521	0.000721669633334261	0.00163979712933909	0.00213291739103583	0.0112707950926376	7.74071814841864e-08	1.90415945512824e-17	0.00162222826032591	6.50425746470659e-06	0.0102102196179816	0.0161220587686997	1.90092461988453e-17	0.00298721685832609	0.00913471848478634	0.00285100909650673	0.000447641629281882	1.91960752709284e-17	0.0183920851406041	0.0020349284986391	0.000349990166451898	0.0150710959331094	1.15718628429274e-05	0.000140075502443118	0.00209140206248707	0.000373140722847464	0.00164482971451063	2.93482868215477e-17	0.000258684089956498	0.00593256882584741	0.0013220479275712	0.00353520597135636	0.0363846479023844	0.00294683604576199	1.09997484344826e-17	1.176721235249e-05	9.86046143681511e-05	0.00018311130463639	0.00746055441511354	0.00375974249973513	0.000169642461676577	0.00661460022231573	0.00556132445465334	0.00242816194212888
AC>GT	9.34486135356812e-05	0.0884473398252886	0.00867652537449499	0.0287327692248361	0.00148836819104215	0.0330084894545121	0.000208819599888962	0.0139899018444142	0.00247379117746494	0.00520630300286806	0.0326644968737718	9.28224674662157e-05	0.00165753526775894	0.00288712824238141	0.00241438695607493	0.0105059458285984	0.000310366601081224	0.0139899018444142	0.00233047330068485	0.000208819599888962	0.00148836819104215	0.00103423855525746	0.0354878533925109	0.00233047330068485	0.0212363445274502	0.000517119277628731	0.00140771174553611	0.00810472978544768	0.000162842341153023	0.0253415032471068	3.61661973769859e-09	0.00233047330068485	0.0257129516879474	0.0112377244861624	0.0295958030654973	0.00577142547949281	0.0275254694495444	0.0164058411559467	0.0229719515638448	0.0614120167199072	0.0251794900295251	0.0869048036136024	0.0288502889678498	0.0241915552494879	0.000631429486103562	0.0174308723147234	0.00233047330068485	0.0309778484674194	0.0126914696599106	0.0225960891370386	0.00157300468484864	0.0216266213475138	0.0109211404687019	0.00664389806908208	0.0114545008729688	0.0166541892336484	0.028063527044449	0.00717342110390969	0.00806974861632472	0.0152284117360993	3.5884581472678e-05	0.00190972701023848	0.018428040292453	0.00478750063761747	0.00418375744356841	0.00547078496144957	0.0380106226901507	3.66894979297071e-07	0.00141010727217605	0.0086324104534481	0.0014390363741827	0.0282047875369141	0.0502493908614896	0.00140771174553611	0.00758089256046308	0.0307577521823025	0.0105256786961736	0.00405737416374163	0.00142154719573902	0.0589183071060418	0.00521030411925424	0.000898374732949475	0.0569187053255967	2.93783823720644e-05	0.0023803408569146	0.00868058468789162	0.000946995723887951	0.00417694379922152	0.00147975867155103	0.000656514833926369	0.0164302171508456	0.00341841523746864	0.0149468369809345	0.105739132389448	0.00904740582842825	5.76581025865128e-05	3.5884581472678e-05	0.000264216581524622	0.000466787428392313	0.0195834786599925	0.0186062968490289	0.000495456290504284	0.024263213626213	0.0144700631093219	0.00616356844752539
AC>TA	0.00424423052711934	0.0600109497796419	0.00311602006264968	0.0191369141115893	0.00267978701063551	0.0208879126644655	3.48123902551019e-05	0.000646818579146298	0.00011437493359908	0.00278654707615602	0.0176976972369062	0.000151058793907178	0.00298437006847108	0.000133485438877179	0.000111628398669664	0.00697360590169295	0.00242452511524451	0.000646818579146298	0.000107748678000141	3.48123902551019e-05	0.00267978701063551	0.000214035712298777	0.00778213426038649	0.000107748678000141	0.00573946071501164	0.000107017856149388	0.00253456615984604	0.000374719555754499	7.52896288343227e-06	0.00947773660120219	0.000410098845256893	0.000107748678000141	0.0116835341353707	0.00666693795690732	0.0158985940056263	0.00329578958746902	0.0275036321353562	0.00285716473898404	0.00862853946876651	0.0248832892748807	0.0289292757637597	0.0231933689670424	0.0103712882665644	0.00996710512452907	2.91939377112681e-05	0.0158847506507212	0.000107748678000141	0.0239077573198232	0.0150529946112098	0.00350720748983395	0.000257804391841472	0.0166883861186456	0.0117972862780928	0.000337974212236135	0.0143260641251127	0.00425850461696204	0.029287717799296	0.00801297522996587	0.00564247726277343	0.000990266732386772	1.22232372932063e-05	0.00026252912835946	0.0106883584086957	0.00700514003033282	0.000951634243867955	0.0003814433295652	0.0268614867398033	3.15980345721667e-07	0.00253887927350432	0.0101479093911064	0.0025620094203567	0.0115448795409581	0.0324976013335509	0.00253456615984604	0.000350500111376928	0.0239993387028008	0.00664143846169834	0.00684999655688573	0.00255947670279045	0.0287742721933529	0.000647798736216033	0.000235066553734875	0.0530855607881225	1.37858967168491e-06	0.00547313225750027	0.00845105214896234	0.00542874760218548	0.00019791138508124	0.00436115742181444	0.00367014620357096	0.00317117349262202	0.000269183612391594	0.0129375638635494	0.0390798799312851	0.00359854170797552	0.00195558711364824	1.22232372932063e-05	3.67403793076111e-05	2.56499719959762e-05	0.00383487048038116	0.0231893131156443	0.000136830875137265	0.0193863440330643	0.00140202277449106	0.000287484485782278
AC>TG	0.00029770109988325	0.0377357219368827	0.00082965976455236	0.00945694557559644	0.00202794692696741	0.0135406487144624	2.76801885658815e-05	0.000585566819757444	0.000103543973977955	0.00213452807919267	0.0101575884964272	0.000100590329644781	0.00225844221397812	0.00012084477231684	0.000101057527583522	0.00418593645662016	0.000283384072663098	0.000585566819757444	9.75452047046727e-05	2.76801885658815e-05	0.00202794692696741	0.000168425357972789	0.0025329748102462	9.75452047046727e-05	0.0031465007310923	8.42126789863946e-05	0.00191805006691052	0.000339234749338354	6.81599291341027e-06	0.00507653623878582	1.71466525064102e-05	9.75452047046727e-05	0.00766047496299129	0.00286240426921274	0.0110079115144443	0.000727187433775144	0.0191324700995799	0.000951962061305015	0.00498322976460116	0.0127309350584904	0.012846958918317	0.015340826030404	0.00801130401930896	0.00358488790267921	2.64293602764889e-05	0.00930350710317681	9.75452047046727e-05	0.013400600027055	0.00819938272909317	0.0027996518959262	0.000109302154214544	0.00632156118325368	0.00797303478926864	0.000301273919505687	0.00378358678305846	0.000842940954996276	0.0171899813860816	0.00608306737209539	0.00298198424884023	0.000759147666747654	9.45511320835386e-06	0.000163889755450104	0.00477995772581415	0.00417118427808011	0.000234646187384285	0.000306598320328957	0.0143751811699293	2.40469424634217e-07	0.00192131404481408	0.00640128204769664	0.00193893130522586	0.00446942825485999	0.0150087535704621	0.00191805006691052	0.000317308812951082	0.0116808642287638	0.0048021689683206	0.00409226161674078	0.00193690128859818	0.0188266173409875	0.000292605318528247	5.83870665152052e-05	0.0277813478358095	1.24494801563047e-06	0.00284951060220939	0.00490720266678323	0.000264786767267831	0.000178439221331809	0.00208714487563263	0.000179661509168673	0.00250320825707498	0.000226749058541456	0.00859075451463635	0.0225732008692466	0.00246870041790484	0.000155964482622984	9.45511320835386e-06	2.95221524543866e-05	2.23170738277917e-05	0.00175322979325338	0.0130192216544082	0.000106504460607092	0.0111052206440428	0.00108117957502186	0.000259877304292042
AC>TT	0.00136562275590396	0.263492466363728	0.00699824178774639	0.0668486238837664	0.013525681736113	0.0949276402342381	0.000226372157890879	0.00690919845906272	0.00122173224526289	0.0150427646975655	0.0726375892016071	0.000672292001258687	0.015063002980729	0.00142586718800623	0.00119239425851687	0.0293327622376969	0.0015972181810813	0.00690919845906272	0.00115095178772877	0.000226372157890879	0.013525681736113	0.00132504787384861	0.0236123608089273	0.00115095178772877	0.0249079465433839	0.000662523936924305	0.0127927089284121	0.00400268616374124	8.04230126184809e-05	0.038189534283632	5.1988908729417e-05	0.00115095178772877	0.0552738320695206	0.0206582010066041	0.0779459214440714	0.00564353314211793	0.130232294136863	0.00955985699235371	0.0371724961490376	0.0951293471318131	0.0873119929214109	0.118515532516397	0.0585206968369655	0.0278501047693892	0.00031184433464309	0.0638319729107426	0.00115095178772877	0.0930762590237937	0.0555067013850596	0.0232227473096683	0.00104007864906623	0.0446185969681161	0.0540988570380454	0.00343208662431236	0.0257100566253502	0.00866723949809075	0.117039379198807	0.0411719259477291	0.0209211889325702	0.00829389142635283	6.94738180612067e-05	0.00147981370314498	0.034491399540462	0.0279704595502558	0.00234911673942321	0.00320296960312366	0.10071036003574	1.64602195762702e-06	0.0128144784953225	0.0433002324903404	0.0129355232989606	0.0344270806392256	0.106788815287177	0.0127927089284121	0.00374397846243536	0.0814718650621996	0.0335240010662692	0.0273039669257505	0.0129184398444897	0.134892650694677	0.00301075680479369	0.000553400087183514	0.190811471212637	1.46085085263681e-05	0.0188061018147114	0.0335444873705503	0.00115033071930484	0.00208634267803075	0.0136624245999518	0.000785640088697881	0.0199279781978151	0.00223267823386734	0.0589551358562093	0.168755851509515	0.0180059184946583	0.000758581099046047	6.94738180612067e-05	0.0002506288155665	0.000248557913808751	0.0154863837144195	0.0879046200829776	0.000802779641471408	0.0768889136607201	0.0102249497304792	0.00305631909117754
AT>CA	0.00295215880266407	0.116177220328269	0.0155725385544946	0.0437254147323413	0.000195552025100429	0.0433430643362585	0.000324766415627974	0.0232266671602534	0.00410709988833058	0.00642500370514288	0.0477312402855501	5.70827741248476e-05	0.00021777835634789	0.00479334075968053	0.00400847431586521	0.0143376867597576	0.00187364674350277	0.0232266671602534	0.0038691570736414	0.000324766415627974	0.000195552025100429	0.00157222793930503	0.0615765047754687	0.0038691570736414	0.0340772901944677	0.000786113969652515	0.000184954827880657	0.0134558385930025	0.00027035821263234	0.0398460135494724	0.000295787828547491	0.0038691570736414	0.0364928447590904	0.0183085636677102	0.0390934672002205	0.0109624697683847	0.0267974861046514	0.0283536844523161	0.0352960803799809	0.0971625497712763	0.0380127782518071	0.133693107787692	0.0400223123014516	0.0416125131728918	0.00104832776326826	0.022021144191115	0.0038691570736414	0.0426324189793486	0.0156822839584039	0.0353689538492934	0.00266503582933006	0.0365570951412472	0.0104977600548345	0.0110036607988886	0.022858563438049	0.0301661049536967	0.0335261459217834	0.00521525078366959	0.0117685671238168	0.025243402165416	5.03704012294384e-05	0.00312453236504626	0.0296311302570241	0.00458169264462325	0.00743057361671296	0.00901370805124254	0.0549268527853822	3.4853751037465e-07	0.000185269568607072	0.0087463008308289	0.000214306358465584	0.0478048435293426	0.0791062607017442	0.000184954827880657	0.0125861403630806	0.0461816247461604	0.0127204644197773	0.00337892029136004	0.000186772624257682	0.0823985287241808	0.00881503659161714	0.0016026727408305	0.078718681207501	4.87576350655408e-05	0.00216241818133083	0.0107930538585904	0.00545612579973277	0.00693057474721459	0.00141832375566624	0.00371515950083294	0.0251765043274816	0.00557855214122979	0.0169526626620812	0.162763967655357	0.0129307302501606	0.0013432051427498	5.03704012294384e-05	0.000417290894545883	0.000772071536080673	0.0328093967626688	0.0216676093534172	0.000723292688017436	0.0325651889811238	0.0235559927796123	0.0102308439308097
