MD6812_Left_lobe_Cl.10	MD6812_Left_lobe_Cl.11	MD6812_Left_lobe_Cl.12	MD6812_Left_lobe_Cl.13	MD6812_Left_lobe_Cl.14	MD6812_Left_lobe_Cl.15	MD6812_Left_lobe_Cl.16	MD6812_Left_lobe_Cl.17	MD6812_Left_lobe_Cl.18	MD6812_Left_lobe_Cl.19	MD6812_Left_lobe_Cl.2	MD6812_Left_lobe_Cl.21	MD6812_Left_lobe_Cl.22	MD6812_Left_lobe_Cl.23	MD6812_Left_lobe_Cl.3	MD6812_Left_lobe_Cl.4	MD6812_Left_lobe_Cl.5	MD6812_Left_lobe_Cl.6	MD6812_Left_lobe_Cl.65	MD6812_Left_lobe_Cl.7	MD6812_Left_lobe_Cl.8	MD6812_Left_lobe_Cl.9	MD6812_Left_lobe_Cl.NA	MD6812_Right_lobe_Cl.1	MD6812_Right_lobe_Cl.10	MD6812_Right_lobe_Cl.11	MD6812_Right_lobe_Cl.12	MD6812_Right_lobe_Cl.13	MD6812_Right_lobe_Cl.14	MD6812_Right_lobe_Cl.15	MD6812_Right_lobe_Cl.17	MD6812_Right_lobe_Cl.18	MD6812_Right_lobe_Cl.19	MD6812_Right_lobe_Cl.2	MD6812_Right_lobe_Cl.20	MD6812_Right_lobe_Cl.3	MD6812_Right_lobe_Cl.4	MD6812_Right_lobe_Cl.5	MD6812_Right_lobe_Cl.6	MD6812_Right_lobe_Cl.71	MD6812_Right_lobe_Cl.8	MD6812_Right_lobe_Cl.9	MD6812_Right_lobe_Cl.NA	MD7047_Left_lobe_Cl.1	MD7047_Left_lobe_Cl.10	MD7047_Left_lobe_Cl.100	MD7047_Left_lobe_Cl.11	MD7047_Left_lobe_Cl.12	MD7047_Left_lobe_Cl.13	MD7047_Left_lobe_Cl.14	MD7047_Left_lobe_Cl.15	MD7047_Left_lobe_Cl.16	MD7047_Left_lobe_Cl.17	MD7047_Left_lobe_Cl.18	MD7047_Left_lobe_Cl.19	MD7047_Left_lobe_Cl.2	MD7047_Left_lobe_Cl.20	MD7047_Left_lobe_Cl.21	MD7047_Left_lobe_Cl.22	MD7047_Left_lobe_Cl.23	MD7047_Left_lobe_Cl.24	MD7047_Left_lobe_Cl.25	MD7047_Left_lobe_Cl.26	MD7047_Left_lobe_Cl.27	MD7047_Left_lobe_Cl.28	MD7047_Left_lobe_Cl.29	MD7047_Left_lobe_Cl.3	MD7047_Left_lobe_Cl.30	MD7047_Left_lobe_Cl.32	MD7047_Left_lobe_Cl.33	MD7047_Left_lobe_Cl.34	MD7047_Left_lobe_Cl.35	MD7047_Left_lobe_Cl.37	MD7047_Left_lobe_Cl.39	MD7047_Left_lobe_Cl.4	MD7047_Left_lobe_Cl.40	MD7047_Left_lobe_Cl.41	MD7047_Left_lobe_Cl.42	MD7047_Left_lobe_Cl.43	MD7047_Left_lobe_Cl.44	MD7047_Left_lobe_Cl.45	MD7047_Left_lobe_Cl.46	MD7047_Left_lobe_Cl.47	MD7047_Left_lobe_Cl.48	MD7047_Left_lobe_Cl.49	MD7047_Left_lobe_Cl.5	MD7047_Left_lobe_Cl.50	MD7047_Left_lobe_Cl.51	MD7047_Left_lobe_Cl.52	MD7047_Left_lobe_Cl.53	MD7047_Left_lobe_Cl.54	MD7047_Left_lobe_Cl.55	MD7047_Left_lobe_Cl.56	MD7047_Left_lobe_Cl.57	MD7047_Left_lobe_Cl.59	MD7047_Left_lobe_Cl.6	MD7047_Left_lobe_Cl.62	MD7047_Left_lobe_Cl.63	MD7047_Left_lobe_Cl.64	MD7047_Left_lobe_Cl.65	MD7047_Left_lobe_Cl.66	MD7047_Left_lobe_Cl.68	MD7047_Left_lobe_Cl.69	MD7047_Left_lobe_Cl.7	MD7047_Left_lobe_Cl.70	MD7047_Left_lobe_Cl.71	MD7047_Left_lobe_Cl.72	MD7047_Left_lobe_Cl.73	MD7047_Left_lobe_Cl.74	MD7047_Left_lobe_Cl.75	MD7047_Left_lobe_Cl.77	MD7047_Left_lobe_Cl.78	MD7047_Left_lobe_Cl.79	MD7047_Left_lobe_Cl.8	MD7047_Left_lobe_Cl.80	MD7047_Left_lobe_Cl.81	MD7047_Left_lobe_Cl.82	MD7047_Left_lobe_Cl.84	MD7047_Left_lobe_Cl.85	MD7047_Left_lobe_Cl.86	MD7047_Left_lobe_Cl.87	MD7047_Left_lobe_Cl.88	MD7047_Left_lobe_Cl.89	MD7047_Left_lobe_Cl.9	MD7047_Left_lobe_Cl.90	MD7047_Left_lobe_Cl.91	MD7047_Left_lobe_Cl.92	MD7047_Left_lobe_Cl.94	MD7047_Left_lobe_Cl.95	MD7047_Left_lobe_Cl.96	MD7047_Left_lobe_Cl.97	MD7047_Left_lobe_Cl.99	MD7047_Left_lobe_Cl.NA	MD7047_Right_lobe_Cl.1	MD7047_Right_lobe_Cl.10	MD7047_Right_lobe_Cl.100	MD7047_Right_lobe_Cl.11	MD7047_Right_lobe_Cl.12	MD7047_Right_lobe_Cl.13	MD7047_Right_lobe_Cl.14	MD7047_Right_lobe_Cl.15	MD7047_Right_lobe_Cl.16	MD7047_Right_lobe_Cl.17	MD7047_Right_lobe_Cl.18	MD7047_Right_lobe_Cl.2	MD7047_Right_lobe_Cl.20	MD7047_Right_lobe_Cl.21	MD7047_Right_lobe_Cl.22	MD7047_Right_lobe_Cl.23	MD7047_Right_lobe_Cl.25	MD7047_Right_lobe_Cl.26	MD7047_Right_lobe_Cl.27	MD7047_Right_lobe_Cl.28	MD7047_Right_lobe_Cl.29	MD7047_Right_lobe_Cl.3	MD7047_Right_lobe_Cl.30	MD7047_Right_lobe_Cl.31	MD7047_Right_lobe_Cl.32	MD7047_Right_lobe_Cl.33	MD7047_Right_lobe_Cl.34	MD7047_Right_lobe_Cl.37	MD7047_Right_lobe_Cl.38	MD7047_Right_lobe_Cl.39	MD7047_Right_lobe_Cl.4	MD7047_Right_lobe_Cl.40	MD7047_Right_lobe_Cl.41	MD7047_Right_lobe_Cl.42	MD7047_Right_lobe_Cl.43	MD7047_Right_lobe_Cl.44	MD7047_Right_lobe_Cl.46	MD7047_Right_lobe_Cl.47	MD7047_Right_lobe_Cl.48	MD7047_Right_lobe_Cl.49	MD7047_Right_lobe_Cl.5	MD7047_Right_lobe_Cl.50	MD7047_Right_lobe_Cl.51	MD7047_Right_lobe_Cl.52	MD7047_Right_lobe_Cl.53	MD7047_Right_lobe_Cl.54	MD7047_Right_lobe_Cl.55	MD7047_Right_lobe_Cl.56	MD7047_Right_lobe_Cl.57	MD7047_Right_lobe_Cl.58	MD7047_Right_lobe_Cl.59	MD7047_Right_lobe_Cl.60	MD7047_Right_lobe_Cl.61	MD7047_Right_lobe_Cl.62	MD7047_Right_lobe_Cl.63	MD7047_Right_lobe_Cl.64	MD7047_Right_lobe_Cl.65	MD7047_Right_lobe_Cl.67	MD7047_Right_lobe_Cl.68	MD7047_Right_lobe_Cl.69	MD7047_Right_lobe_Cl.7	MD7047_Right_lobe_Cl.70	MD7047_Right_lobe_Cl.71	MD7047_Right_lobe_Cl.73	MD7047_Right_lobe_Cl.74	MD7047_Right_lobe_Cl.76	MD7047_Right_lobe_Cl.77	MD7047_Right_lobe_Cl.78	MD7047_Right_lobe_Cl.79	MD7047_Right_lobe_Cl.8	MD7047_Right_lobe_Cl.81	MD7047_Right_lobe_Cl.82	MD7047_Right_lobe_Cl.83	MD7047_Right_lobe_Cl.84	MD7047_Right_lobe_Cl.85	MD7047_Right_lobe_Cl.86	MD7047_Right_lobe_Cl.88	MD7047_Right_lobe_Cl.89	MD7047_Right_lobe_Cl.9	MD7047_Right_lobe_Cl.90	MD7047_Right_lobe_Cl.91	MD7047_Right_lobe_Cl.92	MD7047_Right_lobe_Cl.93	MD7047_Right_lobe_Cl.94	MD7047_Right_lobe_Cl.95	MD7047_Right_lobe_Cl.96	MD7047_Right_lobe_Cl.97	MD7047_Right_lobe_Cl.98	MD7047_Right_lobe_Cl.99	MD7047_Right_lobe_Cl.NA
C_deletion_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C_deletion_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C_deletion_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C_deletion_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C_deletion_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C_deletion_6+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T_deletion_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T_deletion_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T_deletion_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T_deletion_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
