Sample	Study	Mutations	Clusters	Main_cluster_VAF	Prop_VAF_greater_0.3	lower_50_mutations	PID	clonal	Tissue
MD6812a_lo0002	2651	26	1	0.271	0	TRUE	MD6812	TRUE	NTCU
MD6812a_lo0003	2651	28	1	0.314	1	TRUE	MD6812	TRUE	NTCU
MD6812a_lo0005	2651	196	1	0.181	0	FALSE	MD6812	FALSE	NTCU
MD6812a_lo0008	2651	8789	1	0.393	1	FALSE	MD6812	TRUE	NTCU
MD6812a_lo0009	2651	20	1	0.323	1	TRUE	MD6812	TRUE	NTCU
MD6812a_lo0010	2651	31	1	0.311	1	TRUE	MD6812	TRUE	NTCU
MD6812a_lo0014	2651	94	1	0.192	0	FALSE	MD6812	FALSE	NTCU
MD6812a_lo0017	2651	160	1	0.175	0	FALSE	MD6812	FALSE	NTCU
MD6812a_lo0019	2651	8483	1	0.344	1	FALSE	MD6812	TRUE	NTCU
MD6812a_lo0022	2651	4099	1	0.199	0	FALSE	MD6812	FALSE	NTCU
MD6812a_lo0023	2651	4569	1	0.182	0	FALSE	MD6812	FALSE	NTCU
MD6812a_lo0025	2651	8667	1	0.363	1	FALSE	MD6812	TRUE	NTCU
MD6812a_lo0026	2651	3632	1	0.205	0	FALSE	MD6812	FALSE	NTCU
MD6812a_lo0028	2651	10259	1	0.251	0	FALSE	MD6812	TRUE	NTCU
MD6812a_lo0030	2651	21089	2	0.374	1	FALSE	MD6812	TRUE	NTCU
MD6812a_lo0032	2651	38	1	0.268	0	TRUE	MD6812	TRUE	NTCU
MD6812a_lo0035	2651	86	1	0.21	0	FALSE	MD6812	FALSE	NTCU
MD6812a_lo0043	2651	692	1	0.157	0	FALSE	MD6812	FALSE	NTCU
MD6812a_lo0046	2651	8630	1	0.338	1	FALSE	MD6812	TRUE	NTCU
MD6812a_lo0048	2651	1667	1	0.181	0	FALSE	MD6812	FALSE	NTCU
MD6812a_lo0049	2651	5440	1	0.295	0	FALSE	MD6812	TRUE	NTCU
MD6812a_lo0050	2651	38	1	0.272	0	TRUE	MD6812	TRUE	NTCU
MD6812a_lo0051	2651	6503	1	0.336	1	FALSE	MD6812	TRUE	NTCU
MD6812a_lo0059	2651	7819	1	0.378	1	FALSE	MD6812	TRUE	NTCU
MD6812a_lo0063	2651	23	1	0.283	0	TRUE	MD6812	TRUE	NTCU
MD6812a_lo0066	2651	8777	2	0.321	1	FALSE	MD6812	TRUE	NTCU
MD6812a_lo0068	2651	6498	1	0.29	0	FALSE	MD6812	TRUE	NTCU
MD6812a_lo0069	2651	8580	2	0.274	0.039	FALSE	MD6812	TRUE	NTCU
MD6812a_lo0073	2651	2278	1	0.307	1	FALSE	MD6812	TRUE	NTCU
MD6812a_lo0076	2651	8198	2	0.401	1	FALSE	MD6812	TRUE	NTCU
MD6812a_lo0081	2651	5522	1	0.401	1	FALSE	MD6812	TRUE	NTCU
MD6812a_lo0086	2651	6548	1	0.442	1	FALSE	MD6812	TRUE	NTCU
MD6812a_lo0087	2651	9189	1	0.468	1	FALSE	MD6812	TRUE	NTCU
MD6812a_lo0097	2651	651	1	0.181	0	FALSE	MD6812	FALSE	NTCU
MD6812a_lo0098	2651	17802	1	0.295	0	FALSE	MD6812	TRUE	NTCU
MD6812a_lo0099	2651	2267	1	0.278	0	FALSE	MD6812	TRUE	NTCU
MD6812a_lo0100	2651	3366	1	0.147	0	FALSE	MD6812	FALSE	NTCU
MD6812a_lo0101	2651	4716	1	0.161	0	FALSE	MD6812	FALSE	NTCU
