Patient,tips,tip_length,at_root,patient_cluster,patientID,cloneID,clone_SNVs,Clone_Depth,mean_prev,med_prev,vafdepth_sum,n_samples,max_vafdepth,clone_miss_product,vafdepth_mean,clone_detection_sensitivity
MD6812,11,24065,no,MD6812_Left_lobe_11,MD6812_Left_lobe,11,19883,17.94,0.7133734588158,0.7133734588158,6.39895992557773,1,6.39895992557773,0.110734353959002,6.39895992557773,0.889265646040998
MD6812,13,8557,yes,MD6812_Left_lobe_13,MD6812_Left_lobe,13,1324,26.09,0.0772545894496596,0.0772545894496596,1.00778611937081,1,1.00778611937081,0.845278275334569,1.00778611937081,0.154721724665431
MD6812,14,11186,yes,MD6812_Left_lobe_14,MD6812_Left_lobe,14,9781,30.37,0.485478573573598,0.485478573573598,7.31657191771578,2,3.98558646719298,0.125590583522644,7.37199213971509,0.874409416477356
MD6812,16,696,yes,MD6812_Left_lobe_16,MD6812_Left_lobe,16,577,53.99,0.250518679578999,0.250518679578999,6.48001588460425,2,3.72813716378894,0.171477515244747,6.76275175523508,0.828522484755253
MD6812,17,843,yes,MD6812_Left_lobe_17,MD6812_Left_lobe,17,747,109.68,0.15938972478768,0.133503910253924,8.53094784962547,4,3.89906122529096,0.113376939312728,8.74093250735635,0.886623060687272
MD6812,18,11818,yes,MD6812_Left_lobe_18,MD6812_Left_lobe,18,11068,65.01,0.298427538475472,0.343429204680548,9.37960844804802,3,6.02045549167105,0.0634877819745372,9.70038713814523,0.936512218025463
MD6812,19,384,yes,MD6812_Left_lobe_19,MD6812_Left_lobe,19,323,56.24,0.234758824202123,0.234758824202123,6.62759778274089,2,4.23949306648021,0.158360192265383,6.60141813656368,0.841639807734617
MD6812,2,2358,yes,MD6812_Left_lobe_2,MD6812_Left_lobe,2,1682,70.15,0.178283172149908,0.0948106292182073,5.07138064497006,3,3.83302546938449,0.286598547004301,6.25328226315801,0.713401452995699
MD6812,23,7215,yes,MD6812_Left_lobe_23,MD6812_Left_lobe,23,7023,66.34,0.409536270403504,0.310401063330407,12.2767849953452,3,4.44298809451356,0.026662146033124,13.5843180892842,0.973337853966876
MD6812,8,6751,no,MD6812_Left_lobe_8,MD6812_Left_lobe,8,4499,48.81,0.238779411971369,0.238779411971369,5.8070513108578,2,3.7412392660584,0.21443686429779,5.82741154916127,0.78556313570221
MD6812,9,9239,no,MD6812_Left_lobe_9,MD6812_Left_lobe,9,1971,52.56,0.272296442138666,0.104565842661338,7.38101654484209,3,6.13672841941308,0.106968092261097,7.15595049940415,0.893031907738903
MD6812,1,2359,yes,MD6812_Right_lobe_1,MD6812_Right_lobe,1,1675,70.15,0.177175057653514,0.0944439673368333,5.03140109425537,3,3.81621312346331,0.290027141208665,6.21441514719701,0.709972858791335
MD6812,11,379,yes,MD6812_Right_lobe_11,MD6812_Right_lobe,11,322,56.24,0.239106550619018,0.239106550619018,6.75014344551222,2,4.311306536487,0.151209074427738,6.72367620340679,0.848790925572262
MD6812,12,837,yes,MD6812_Right_lobe_12,MD6812_Right_lobe,12,743,109.68,0.159957212746196,0.133922335931734,8.56090462681149,4,3.91490557443195,0.112139793591967,8.7720535470014,0.887860206408033
MD6812,15,10971,no,MD6812_Right_lobe_15,MD6812_Right_lobe,15,1255,44.65,0.29824801437179,0.29824801437179,6.77871529623073,2,4.74201911449605,0.144114646608861,6.65838692085021,0.855885353391139
MD6812,18,689,yes,MD6812_Right_lobe_18,MD6812_Right_lobe,18,574,53.99,0.253415379829686,0.253415379829686,6.55676847240533,2,3.76584821874841,0.166673890963878,6.84094817850237,0.833326109036122
MD6812,2,255,yes,MD6812_Right_lobe_2,MD6812_Right_lobe,2,131,23.29,0.240850132553118,0.240850132553118,2.80469979358106,1,2.80469979358106,0.487092964608594,2.80469979358106,0.512907035391406
MD6812,4,9802,no,MD6812_Right_lobe_4,MD6812_Right_lobe,4,278,147.62,0.178510128416551,0.167355196786033,12.9371127109844,8,2.80214489790093,0.062838223837798,13.1758325784257,0.937161776162202
MD7047,1,14345,no,MD7047_Left_lobe_1,MD7047_Left_lobe,1,7785,27.11,0.418434124358739,0.418434124358739,5.67187455568271,1,5.67187455568271,0.153284334860517,5.67187455568271,0.846715665139483
MD7047,11,13785,no,MD7047_Left_lobe_11,MD7047_Left_lobe,11,8500,45.04,0.365030611719501,0.365030611719501,9.11846344387225,2,7.91362883291544,0.0441609030808051,8.22048937592317,0.955839096919195
MD7047,12,16747,no,MD7047_Left_lobe_12,MD7047_Left_lobe,12,6570,101.33,0.207344945105032,0.219923162439461,12.2874763999635,3,6.93782308906854,0.0173186459390016,10.5051316437464,0.982681354060998
MD7047,13,14501,yes,MD7047_Left_lobe_13,MD7047_Left_lobe,13,10232,94.16,0.11240088924117,0.116453494786091,5.6769985506418,4,2.87561774136579,0.294406810910213,5.29183386547426,0.705593189089787
MD7047,16,14932,no,MD7047_Left_lobe_16,MD7047_Left_lobe,16,9807,53.54,0.407290103457793,0.416593950483852,11.990657583338,3,6.83026306805814,0.023235195944684,10.9031560695651,0.976764804055316
MD7047,18,10210,no,MD7047_Left_lobe_18,MD7047_Left_lobe,18,8740,30.15,0.397676062268647,0.397676062268647,5.99496663869985,1,5.99496663869985,0.132801814869877,5.99496663869985,0.867198185130123
MD7047,19,25771,no,MD7047_Left_lobe_19,MD7047_Left_lobe,19,18472,32.68,0.392370193211889,0.392370193211889,6.41132895708227,1,6.41132895708227,0.110115788163744,6.41132895708227,0.889884211836256
MD7047,22,13971,yes,MD7047_Left_lobe_22,MD7047_Left_lobe,22,11494,78.14,0.175111521931107,0.180559562923834,6.78356578450439,3,4.10315968424597,0.177320415043307,6.84160716184837,0.822679584956693
MD7047,23,17903,no,MD7047_Left_lobe_23,MD7047_Left_lobe,23,11706,29.68,0.475486800721173,0.475486800721173,7.05622412270221,1,7.05622412270221,0.0820012656370592,7.05622412270221,0.917998734362941
MD7047,3,14945,no,MD7047_Left_lobe_3,MD7047_Left_lobe,3,9995,42.56,0.377141987487151,0.377141987487151,10.3371800577137,2,9.51196746450965,0.0227862904955953,8.02558149372657,0.977213709504405
MD7047,32,4763,no,MD7047_Left_lobe_32,MD7047_Left_lobe,32,46,383.55,0.223920056522397,0.200419358972927,41.1880269616584,13,5.01228656773763,1.07084547831226e-05,42.9422688395827,0.999989291545217
MD7047,33,19829,no,MD7047_Left_lobe_33,MD7047_Left_lobe,33,13969,52.72,0.337681480773944,0.337681480773944,8.18866539510772,2,6.36279078105698,0.0756216955204113,8.90128383320118,0.924378304479589
MD7047,43,16826,yes,MD7047_Left_lobe_43,MD7047_Left_lobe,43,13173,31.98,0.304436841956536,0.304436841956536,4.86794510288501,1,4.86794510288501,0.217094446710204,4.86794510288501,0.782905553289796
MD7047,46,18204,no,MD7047_Left_lobe_46,MD7047_Left_lobe,46,3934,113.41,0.126631882093985,0.0618537783411025,6.45019101337167,5,4.16163959105131,0.226965248615658,7.18066087413942,0.773034751384342
MD7047,5,21057,yes,MD7047_Left_lobe_5,MD7047_Left_lobe,5,17265,62.49,0.179754367325845,0.140688560000736,6.20032878347753,3,4.95221107317167,0.180072638120872,5.61642520709604,0.819927361879128
MD7047,50,13024,no,MD7047_Left_lobe_50,MD7047_Left_lobe,50,5307,8.28,0.873042048178978,0.873042048178978,3.61439407946097,1,3.61439407946097,0.361153541672305,3.61439407946097,0.638846458327695
MD7047,63,14225,no,MD7047_Left_lobe_63,MD7047_Left_lobe,63,619,102.26,0.12716827689896,0.150045631428953,6.3472270217575,3,3.21647017772685,0.209560144398959,6.50211399784384,0.790439855601041
MD7047,65,16180,no,MD7047_Left_lobe_65,MD7047_Left_lobe,65,5249,24.89,0.469424973381181,0.469424973381181,5.8419937937288,1,5.8419937937288,0.142165959051591,5.8419937937288,0.857834040948409
MD7047,7,9338,yes,MD7047_Left_lobe_7,MD7047_Left_lobe,7,7196,45.81,0.245221302915121,0.245221302915121,5.66477610682849,2,3.39423246313765,0.229382760923938,5.61679394327084,0.770617239076062
MD7047,8,45116,no,MD7047_Left_lobe_8,MD7047_Left_lobe,8,23076,57.69,0.172397258834829,0.172397258834829,5.02373863821663,2,3.14594011676568,0.284890624260411,4.97279893109064,0.715109375739589
MD7047,89,11642,no,MD7047_Left_lobe_89,MD7047_Left_lobe,89,929,17.79,0.366898475117505,0.366898475117505,3.26356193617021,1,3.26356193617021,0.412494651765988,3.26356193617021,0.587505348234012
MD7047,9,6582,no,MD7047_Left_lobe_9,MD7047_Left_lobe,9,5115,91.04,0.138294252976203,0.107007647398025,6.42313531387956,3,3.30643530000043,0.207017833942072,6.29515439547676,0.792982166057928
MD7047,94,13332,no,MD7047_Left_lobe_94,MD7047_Left_lobe,94,376,121.47,0.119668163033348,0.0844354416680457,7.16295813448558,5,2.71193903537171,0.224368457430012,7.2680458818304,0.775631542569988
MD7047,1,20523,yes,MD7047_Right_lobe_1,MD7047_Right_lobe,1,17551,34.76,0.333752085522546,0.333752085522546,5.80061124638185,1,5.80061124638185,0.144800847153931,5.80061124638185,0.855199152846069
MD7047,100,12091,no,MD7047_Right_lobe_100,MD7047_Right_lobe,100,521,21.45,0.514491885040939,0.514491885040939,5.51792546706407,1,5.51792546706407,0.164018480934165,5.51792546706407,0.835981519065835
MD7047,12,17942,yes,MD7047_Right_lobe_12,MD7047_Right_lobe,12,11958,120.95,0.0899332517031833,0.0925662840602506,5.73391924226882,5,2.38379699560823,0.333515207536192,5.43871339675001,0.666484792463808
MD7047,13,28303,no,MD7047_Right_lobe_13,MD7047_Right_lobe,13,8317,111.5,0.0616793631170358,0.0466998772748073,3.53270226272362,6,1.64651631808712,0.648588895266398,3.43862449377475,0.351411104733602
MD7047,14,14396,no,MD7047_Right_lobe_14,MD7047_Right_lobe,14,2795,69.05,0.327824242269903,0.350843624105029,10.7546423899261,3,4.42238388184389,0.0453029124570231,11.3181319643684,0.954697087542977
MD7047,16,32311,no,MD7047_Right_lobe_16,MD7047_Right_lobe,16,14745,28.82,0.346733350982187,0.346733350982187,4.99642758765332,1,4.99642758765332,0.205545571722518,4.99642758765332,0.794454428277482
MD7047,23,25167,no,MD7047_Right_lobe_23,MD7047_Right_lobe,23,8744,34.53,0.312979871931827,0.312979871931827,5.40359748890299,1,5.40359748890299,0.172422344634669,5.40359748890299,0.827577655365331
MD7047,34,12448,no,MD7047_Right_lobe_34,MD7047_Right_lobe,34,835,69.7,0.2016939116593,0.2016939116593,7.62608714986778,2,6.9783908367549,0.0785321816679075,7.0290328213266,0.921467818332093
MD7047,39,19688,no,MD7047_Right_lobe_39,MD7047_Right_lobe,39,598,107.54,0.138996119167897,0.0717704692145529,7.81387557491467,5,2.99741416774056,0.170610162474591,7.47382132765784,0.829389837525409
MD7047,41,10688,no,MD7047_Right_lobe_41,MD7047_Right_lobe,41,91,148.69,0.206369213573131,0.123500041398063,19.4273485052812,6,8.34020638881428,0.0014973788073669,15.3425191830944,0.998502621192633
MD7047,56,12153,no,MD7047_Right_lobe_56,MD7047_Right_lobe,56,670,117.1,0.204413919829386,0.238954108486129,12.4410293164767,3,5.47272616088925,0.0212926884670765,11.9684350060106,0.978707311532923
MD7047,76,8049,no,MD7047_Right_lobe_76,MD7047_Right_lobe,76,348,80.43,0.185680351348404,0.194849879417813,7.57337926036442,4,2.80572117442622,0.179270202834893,7.46713532947608,0.820729797165107
MD7047,84,11880,no,MD7047_Right_lobe_84,MD7047_Right_lobe,84,392,87.1,0.247429252657994,0.218570418054363,10.3636583337856,4,5.14376322313541,0.049280065795418,10.7755439532557,0.950719934204582
MD7047,9,15235,no,MD7047_Right_lobe_9,MD7047_Right_lobe,9,9377,26.85,0.509744782833628,0.509744782833628,7.26414323471289,2,5.35616449952163,0.115324659490646,6.84332370954146,0.884675340509354
