"SBS5" "SBS18" "SBS11" "SBS32" "SBS36" "N2"
"MD6812_Left_lobe_Cl.10" 0.147111623343413 0.00907853958979423 0.126264826546227 0.171309627788973 0.0336687323750755 0.512566650356518
"MD6812_Left_lobe_Cl.11" 0.0818097701054659 0.00133633246409189 0.0888652142243556 0.225447608465644 0.0422178940190141 0.560323180721428
"MD6812_Left_lobe_Cl.12" 0.137746081374828 0.00509771372877056 0.0896880788881923 0.191813947870269 0.0153855288795647 0.560268649258376
"MD6812_Left_lobe_Cl.13" 0.0295237189491837 0.0280019352308424 0.0366439220938952 0.029775446315177 0.0291448757550135 0.846910101655888
"MD6812_Left_lobe_Cl.14" 0.110017612565245 0.00414403114483388 0.0906635228675664 0.183986929481307 0.0105277209862659 0.600660182954782
"MD6812_Left_lobe_Cl.16" 0.118101114723229 0.0270242366964686 0.0231522268558143 0.0580445059772102 0.0214723861481576 0.75220552959912
"MD6812_Left_lobe_Cl.17" 0.0937745351909768 0.0143221457658231 0.0240329150250239 0.109489755403056 0.017054428958374 0.741326219656746
"MD6812_Left_lobe_Cl.18" 0.114152428412844 0.00368864949769313 0.0764351673601253 0.187270162074091 0.021654292625704 0.596799300029542
"MD6812_Left_lobe_Cl.19" 0.0202028037441402 0.0308292939640071 0.0522269975160849 0.103993575871939 0.0346980363705165 0.758049292533312
"MD6812_Left_lobe_Cl.2" 0.14096369020708 0.00903389671468519 0.0156184842729552 0.126108245733218 0.0198743626199656 0.688401320452097
"MD6812_Left_lobe_Cl.22" 0.268352922749098 0.0110634582940284 0.0817268945058458 0.143686019401998 0.0200047166068098 0.475165988442221
"MD6812_Left_lobe_Cl.23" 0.12429715941382 0.00569990526047736 0.0613626134211128 0.168609910854899 0.00694644317667791 0.633083967873013
"MD6812_Left_lobe_Cl.3" 0.351822489943311 0.185436439949514 0.062290087402253 0.0926582532330342 0.131759386032827 0.176033343439061
"MD6812_Left_lobe_Cl.65" 0.160507389219164 0.147946277248965 0.206757764006691 0.190575117310266 0.14667585978561 0.147537592429305
"MD6812_Left_lobe_Cl.8" 0.104763907859281 0.0119754896109145 0.0599295574866455 0.141007619426857 0.0303461964428193 0.651977229173482
"MD6812_Left_lobe_Cl.9" 0.134003379219003 0.00433998565773432 0.0866389370083196 0.221080845289395 0.00350916221999432 0.550427690605554
"MD6812_Right_lobe_Cl.1" 0.140314461911062 0.0091983089985142 0.0155631179562242 0.126279692630404 0.0197833683134479 0.688861050190347
"MD6812_Right_lobe_Cl.10" 0.464734882928242 0.105372296704939 0.0972407557812512 0.181110989419254 0.0755486816776667 0.0759923934886466
