C.A.in.ACA	C.A.in.ACC	C.A.in.ACG	C.A.in.ACT	C.A.in.CCA	C.A.in.CCC	C.A.in.CCG	C.A.in.CCT	C.A.in.GCA	C.A.in.GCC	C.A.in.GCG	C.A.in.GCT	C.A.in.TCA	C.A.in.TCC	C.A.in.TCG	C.A.in.TCT	C.G.in.ACA	C.G.in.ACC	C.G.in.ACG	C.G.in.ACT	C.G.in.CCA	C.G.in.CCC	C.G.in.CCG	C.G.in.CCT	C.G.in.GCA	C.G.in.GCC	C.G.in.GCG	C.G.in.GCT	C.G.in.TCA	C.G.in.TCC	C.G.in.TCG	C.G.in.TCT	C.T.in.ACA	C.T.in.ACC	C.T.in.ACG	C.T.in.ACT	C.T.in.CCA	C.T.in.CCC	C.T.in.CCG	C.T.in.CCT	C.T.in.GCA	C.T.in.GCC	C.T.in.GCG	C.T.in.GCT	C.T.in.TCA	C.T.in.TCC	C.T.in.TCG	C.T.in.TCT	T.A.in.ATA	T.A.in.ATC	T.A.in.ATG	T.A.in.ATT	T.A.in.CTA	T.A.in.CTC	T.A.in.CTG	T.A.in.CTT	T.A.in.GTA	T.A.in.GTC	T.A.in.GTG	T.A.in.GTT	T.A.in.TTA	T.A.in.TTC	T.A.in.TTG	T.A.in.TTT	T.C.in.ATA	T.C.in.ATC	T.C.in.ATG	T.C.in.ATT	T.C.in.CTA	T.C.in.CTC	T.C.in.CTG	T.C.in.CTT	T.C.in.GTA	T.C.in.GTC	T.C.in.GTG	T.C.in.GTT	T.C.in.TTA	T.C.in.TTC	T.C.in.TTG	T.C.in.TTT	T.G.in.ATA	T.G.in.ATC	T.G.in.ATG	T.G.in.ATT	T.G.in.CTA	T.G.in.CTC	T.G.in.CTG	T.G.in.CTT	T.G.in.GTA	T.G.in.GTC	T.G.in.GTG	T.G.in.GTT	T.G.in.TTA	T.G.in.TTC	T.G.in.TTG	T.G.in.TTT
MD6812_Left_lobe_Cl.10	33	13	6	13	21	24	2	18	11	14	1	15	27	59	2	42	4	11	0	2	3	10	0	4	2	6	3	5	5	11	0	12	66	86	24	71	12	30	2	26	11	39	2	22	30	91	4	61	36	28	46	17	7	13	16	3	12	22	28	13	12	9	16	8	19	22	22	11	7	7	3	5	14	17	11	13	5	7	2	4	33	37	15	38	1	5	5	7	7	25	6	12	7	15	4	10
MD6812_Left_lobe_Cl.11	516	223	45	243	222	335	14	188	149	209	26	207	331	758	21	558	28	78	2	63	30	88	6	57	28	82	5	62	66	253	8	156	874	1125	176	922	147	304	29	205	159	365	35	281	483	954	81	766	524	268	540	307	120	104	173	72	179	222	236	160	162	146	155	96	131	163	172	140	52	48	37	45	107	142	96	126	56	50	26	37	380	478	285	416	39	126	51	66	162	258	147	221	60	171	53	98
MD6812_Left_lobe_Cl.12	183	66	19	66	65	68	3	44	48	49	0	52	89	182	7	148	9	27	3	20	10	32	2	16	9	16	0	18	21	52	0	44	226	323	55	260	39	105	11	57	42	118	17	80	156	291	17	191	149	87	162	85	29	25	41	15	48	65	58	41	60	46	41	26	54	74	73	34	19	30	16	14	52	77	37	63	14	27	16	22	140	161	88	144	19	43	13	26	55	87	40	71	29	47	33	30
MD6812_Left_lobe_Cl.13	13	4	3	3	2	2	0	2	2	3	2	6	3	18	3	11	0	2	1	2	0	3	0	2	1	2	0	0	1	5	0	0	3	12	2	5	1	3	0	0	1	4	0	1	1	8	0	2	5	10	23	5	3	6	2	3	3	9	8	2	4	3	1	0	1	4	1	1	0	0	1	1	0	0	1	2	2	1	0	1	9	12	4	5	1	7	4	1	2	8	1	3	1	4	0	3
MD6812_Left_lobe_Cl.14	265	93	33	134	92	100	4	76	85	87	15	90	124	307	12	242	19	66	0	38	11	52	2	39	10	49	4	38	33	127	5	77	398	512	103	378	48	134	18	98	86	177	24	155	172	486	41	340	241	118	242	141	43	49	72	30	78	81	108	90	73	61	68	49	85	88	96	70	21	21	10	20	77	80	65	72	25	25	18	33	223	264	162	313	31	74	34	47	95	167	96	146	38	104	47	67
MD6812_Left_lobe_Cl.16	14	9	2	7	9	12	0	4	8	6	1	3	12	28	2	14	2	4	0	3	0	3	1	3	0	2	0	2	1	12	1	4	12	12	6	11	5	2	0	4	3	8	1	3	4	16	1	10	21	13	13	8	5	5	7	3	7	12	13	6	5	5	4	7	7	3	6	3	2	3	0	0	3	6	4	3	1	2	1	5	18	19	10	12	3	3	2	3	5	13	8	7	5	2	5	4
MD6812_Left_lobe_Cl.17	13	7	3	3	4	11	1	7	8	7	0	12	8	31	1	21	2	5	0	2	0	4	0	4	0	4	1	3	7	15	0	7	14	29	10	15	3	8	1	4	4	6	4	9	16	17	1	15	28	19	37	17	2	7	15	6	8	14	12	9	7	10	10	1	4	10	6	7	1	5	1	1	9	9	5	7	1	2	2	1	12	25	11	19	3	7	2	3	5	11	3	9	1	6	1	4
MD6812_Left_lobe_Cl.18	346	127	33	150	109	166	7	79	86	106	14	124	181	386	9	275	22	77	4	38	17	58	3	25	17	56	6	38	35	153	3	91	426	594	94	441	54	149	22	117	60	182	26	139	220	512	45	367	256	168	286	185	64	47	102	45	93	127	135	91	85	76	77	72	89	117	101	80	32	50	20	28	69	103	68	94	29	47	22	43	227	279	185	240	25	71	37	48	94	174	104	152	44	101	26	56
MD6812_Left_lobe_Cl.19	6	1	0	6	3	5	0	7	6	5	0	4	6	8	2	7	0	1	0	1	0	3	0	1	2	1	0	1	4	3	1	3	15	12	3	7	0	2	1	1	0	7	0	1	5	13	0	5	14	10	13	5	1	2	4	3	4	5	3	8	8	1	5	1	0	1	3	1	0	0	0	0	2	1	0	3	0	0	0	0	7	9	10	6	1	1	1	1	3	7	2	8	3	3	0	1
MD6812_Left_lobe_Cl.2	56	14	7	22	19	25	4	19	9	10	4	14	24	50	2	55	5	14	0	4	3	12	1	3	4	12	1	5	8	21	0	19	53	54	17	43	10	8	3	8	9	22	3	13	15	51	3	38	51	34	57	36	8	11	20	3	15	23	23	17	14	11	15	6	19	21	15	12	6	10	5	8	22	14	18	19	2	4	4	5	41	50	23	43	3	17	6	8	13	30	8	21	7	13	10	4
MD6812_Left_lobe_Cl.22	26	15	2	7	6	14	0	10	9	7	1	12	14	37	1	23	4	16	1	5	0	1	0	2	1	4	0	6	3	12	1	6	35	43	10	37	13	14	0	15	6	18	2	11	20	56	5	33	16	20	25	10	9	5	9	6	7	11	11	7	6	8	8	5	23	20	8	8	9	8	0	4	26	16	8	13	4	11	2	7	11	18	9	23	5	4	1	4	9	15	4	8	2	10	3	3
MD6812_Left_lobe_Cl.23	187	99	28	71	65	75	6	48	75	57	11	72	110	190	10	162	13	50	1	27	8	26	0	26	9	37	4	13	24	71	4	47	272	317	52	246	48	80	8	64	45	126	13	87	145	282	29	229	183	94	200	119	34	36	53	21	61	82	90	67	49	52	63	27	57	72	70	45	25	29	11	17	55	57	47	53	18	29	25	27	200	239	144	214	26	57	29	42	58	114	70	104	34	74	24	57
MD6812_Left_lobe_Cl.3	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
MD6812_Left_lobe_Cl.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MD6812_Left_lobe_Cl.8	156	61	11	51	55	58	4	43	48	41	10	48	89	130	6	124	12	29	1	15	7	28	0	11	5	22	4	14	19	69	0	45	146	191	41	117	32	60	4	40	30	65	5	43	82	160	19	144	118	68	134	89	25	30	37	15	45	74	51	42	35	39	42	28	35	38	41	25	19	11	9	10	28	42	19	35	12	11	7	12	105	110	60	130	9	36	25	23	49	60	44	48	21	45	15	23
MD6812_Left_lobe_Cl.9	61	17	2	17	20	15	0	5	15	18	0	17	25	34	2	34	1	7	1	6	0	7	1	5	4	7	0	1	3	24	1	14	88	137	23	81	12	33	2	24	17	28	4	30	38	86	12	81	40	25	46	41	8	11	15	8	13	21	19	15	16	7	19	10	19	26	28	16	11	6	4	10	10	27	18	19	5	6	1	5	50	70	33	62	5	16	7	11	20	34	10	21	7	23	1	11
MD6812_Right_lobe_Cl.1	57	14	7	22	19	25	4	19	9	10	4	14	24	50	2	55	5	14	0	4	3	12	1	3	4	12	1	5	8	21	0	19	53	54	17	43	10	8	3	8	9	22	3	13	15	51	3	38	51	34	57	36	8	11	20	3	15	23	23	17	14	11	15	6	19	20	15	12	6	10	5	8	22	14	18	19	2	4	4	5	41	50	23	43	3	17	6	8	13	30	8	21	7	13	10	4
MD6812_Right_lobe_Cl.10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MD6812_Right_lobe_Cl.11	6	1	0	6	3	5	0	7	6	5	0	4	6	8	2	7	0	1	0	1	0	3	0	1	2	1	0	1	4	3	1	3	15	12	4	7	0	2	1	1	0	7	0	1	5	13	0	5	14	10	13	5	1	2	4	3	4	5	3	8	8	1	5	1	0	1	3	1	0	0	0	0	2	1	0	3	0	0	0	0	7	9	10	6	1	1	1	1	3	7	2	8	3	3	0	1
MD6812_Right_lobe_Cl.12	13	7	3	3	4	11	1	7	8	7	0	12	8	31	1	21	2	5	0	2	0	4	0	4	0	4	1	3	7	15	0	7	14	29	10	15	3	9	1	4	4	6	4	9	16	17	1	15	28	19	37	17	2	7	15	6	8	14	12	9	7	10	10	1	4	10	6	7	1	5	1	1	9	9	5	7	1	2	2	1	12	25	11	19	3	7	2	3	5	11	3	9	1	6	1	4
MD6812_Right_lobe_Cl.13	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2
MD6812_Right_lobe_Cl.15	36	10	8	16	10	14	0	13	9	13	1	15	21	34	3	29	5	5	1	2	2	6	1	3	2	9	1	5	3	13	0	4	53	59	13	63	10	15	2	14	13	22	7	15	33	47	7	40	24	8	27	19	5	6	4	4	8	9	12	3	6	9	5	5	7	8	12	9	6	4	2	4	15	9	5	11	2	5	4	2	32	35	22	42	4	11	11	11	15	28	19	20	12	9	4	10
MD6812_Right_lobe_Cl.18	14	9	2	7	8	13	0	4	8	6	1	3	12	28	2	15	2	4	0	3	0	3	1	3	0	2	0	2	1	12	1	4	12	12	6	11	5	2	0	4	3	8	1	3	4	16	1	10	21	13	13	8	5	5	7	3	7	12	13	6	5	5	4	7	7	3	7	3	2	3	0	0	3	6	4	3	1	2	1	5	18	19	10	12	3	3	2	3	5	13	8	7	5	2	5	4
MD6812_Right_lobe_Cl.19	97	53	13	39	51	55	4	46	34	36	6	49	69	163	4	121	13	35	0	18	5	17	2	9	9	34	1	16	12	49	0	40	192	261	47	209	34	84	6	45	38	83	31	67	85	217	28	150	120	61	121	78	18	24	51	9	50	54	50	27	45	33	34	23	47	69	48	41	18	23	22	18	45	75	42	42	17	20	14	25	96	126	71	92	15	32	10	15	29	58	33	58	18	54	20	29
MD6812_Right_lobe_Cl.2	3	5	3	2	1	1	1	0	1	0	0	0	0	5	1	4	4	17	1	3	0	1	0	2	0	3	0	1	0	1	0	1	3	6	0	1	0	1	0	4	1	1	1	0	2	1	1	1	1	2	3	3	2	0	3	0	0	2	3	1	3	2	0	2	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	1	3	1	0	0	3	0	0
MD6812_Right_lobe_Cl.20	0	2	0	1	1	0	0	0	1	0	0	3	2	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0
MD6812_Right_lobe_Cl.3	117	48	11	47	38	49	1	25	53	39	6	43	60	118	7	111	7	19	1	8	8	14	2	12	12	14	1	10	12	38	3	40	216	283	44	264	41	65	17	50	45	87	42	84	134	198	18	177	68	33	68	46	9	23	20	8	23	36	31	23	37	22	24	23	48	39	67	34	15	18	12	15	31	57	42	33	19	22	14	20	123	136	109	159	12	35	17	29	56	63	51	76	24	43	18	38
MD6812_Right_lobe_Cl.4	1	2	0	10	6	4	0	3	16	3	2	14	10	11	2	20	1	1	0	0	2	1	1	3	3	1	0	1	1	4	1	3	12	6	1	5	4	0	3	2	0	5	4	3	6	6	2	8	6	1	3	8	0	0	1	2	0	0	0	1	1	3	0	2	0	1	2	1	1	3	2	0	3	4	2	4	1	2	0	1	1	2	1	4	0	1	1	2	0	1	2	6	0	3	0	4
MD6812_Right_lobe_Cl.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MD7047_Left_lobe_Cl.1	224	86	23	82	69	111	5	74	61	61	12	75	127	253	11	192	7	50	1	31	10	43	1	23	4	27	0	20	33	95	2	71	274	361	49	250	45	91	12	78	45	128	28	87	143	315	34	224	203	107	220	121	47	46	79	27	68	104	88	82	56	66	75	47	51	84	69	34	15	26	17	21	72	85	58	54	20	22	19	18	159	209	123	201	14	50	33	34	54	138	51	119	29	71	32	33
MD7047_Left_lobe_Cl.10	1	1	1	2	2	1	0	0	1	0	0	4	1	5	0	10	0	0	0	0	0	1	1	0	0	0	0	2	0	1	0	1	0	7	4	2	0	3	4	2	1	4	6	4	3	10	2	7	1	1	1	0	0	1	0	0	0	2	1	1	2	0	1	0	2	3	1	0	0	0	2	2	0	5	1	2	2	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	1
MD7047_Left_lobe_Cl.11	237	86	24	82	92	104	6	85	78	68	14	63	138	257	6	217	13	44	4	18	11	43	3	17	8	30	2	29	18	98	3	65	347	474	74	376	80	133	13	88	78	157	17	149	200	450	33	298	168	121	236	113	36	48	82	22	55	97	92	83	46	62	63	43	63	98	95	67	20	29	23	26	59	98	61	65	36	39	19	27	166	199	116	218	19	58	23	36	75	119	68	125	20	70	14	43
MD7047_Left_lobe_Cl.12	143	46	18	62	50	93	4	64	47	45	3	53	80	187	9	153	5	16	1	10	9	23	2	19	4	23	4	14	28	92	0	40	277	363	70	307	60	83	12	83	54	127	19	108	186	323	32	254	129	80	151	87	24	26	41	23	51	51	63	39	44	43	48	32	52	54	92	41	20	19	19	11	29	34	39	24	15	17	16	19	194	211	166	200	16	55	32	29	91	110	71	97	23	64	32	38
MD7047_Left_lobe_Cl.13	285	91	36	94	83	107	6	64	82	96	9	93	142	311	13	186	18	95	2	41	13	49	2	23	11	65	3	43	42	132	5	93	220	338	75	259	32	80	20	61	46	126	17	84	127	295	21	182	259	163	326	163	64	81	127	55	129	174	148	94	102	91	101	58	57	124	79	53	23	47	13	26	98	119	68	81	28	33	22	23	256	297	223	278	43	88	36	43	95	197	98	151	52	104	41	53
MD7047_Left_lobe_Cl.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MD7047_Left_lobe_Cl.15	110	33	10	43	27	51	4	30	28	24	3	43	56	110	5	86	6	29	0	18	3	13	1	8	3	19	0	9	8	44	0	30	172	206	42	173	37	54	10	41	20	79	18	51	94	186	12	128	89	49	106	55	13	21	39	17	32	42	44	34	28	18	31	29	48	60	40	30	15	23	13	17	43	51	36	52	10	15	7	9	64	81	52	66	10	27	11	15	22	51	25	50	11	30	10	18
MD7047_Left_lobe_Cl.16	237	116	27	114	93	141	2	75	79	88	10	131	146	323	15	260	12	65	1	20	13	32	2	18	6	37	3	21	20	83	3	64	470	599	112	445	83	147	15	110	82	182	29	135	254	476	43	334	201	138	256	140	42	62	97	35	76	101	122	74	64	61	91	43	75	117	94	71	19	30	26	14	66	107	47	51	18	16	23	33	224	248	157	215	22	77	24	38	68	131	61	131	42	98	30	54
MD7047_Left_lobe_Cl.17	90	35	8	29	28	42	3	25	23	18	7	27	39	80	8	64	5	16	0	7	5	11	3	5	2	31	0	9	13	38	0	24	139	145	20	141	29	36	7	20	26	47	8	39	77	132	8	106	43	26	50	29	15	9	21	5	24	23	22	12	13	12	17	17	26	19	24	19	13	7	5	13	16	17	12	10	12	10	9	7	114	88	80	134	15	21	10	22	47	60	53	42	11	26	20	28
MD7047_Left_lobe_Cl.18	242	114	31	72	79	117	6	69	71	79	13	68	154	310	14	204	18	53	4	27	13	44	2	24	17	36	1	20	22	112	2	88	300	423	70	315	45	92	8	92	53	117	17	106	127	355	21	244	230	161	268	143	60	40	94	33	79	96	119	78	81	62	79	44	70	97	67	62	29	34	18	22	70	74	57	70	18	28	14	31	192	230	156	227	19	59	32	31	68	134	64	99	37	71	38	41
MD7047_Left_lobe_Cl.19	459	180	55	199	182	288	6	147	150	162	23	158	287	638	26	448	19	96	5	45	24	67	3	41	22	69	2	30	56	199	6	157	763	1009	163	761	130	263	15	174	130	384	44	254	423	806	71	612	480	276	501	265	91	96	158	56	182	216	249	167	145	148	174	107	126	192	169	118	59	65	42	57	122	147	106	143	55	63	28	68	383	444	287	429	35	131	64	77	138	265	154	232	65	156	65	96
MD7047_Left_lobe_Cl.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MD7047_Left_lobe_Cl.20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MD7047_Left_lobe_Cl.21	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
MD7047_Left_lobe_Cl.22	322	156	35	146	123	148	14	97	104	98	13	106	190	367	20	309	31	103	3	41	14	44	6	27	11	75	1	38	44	144	5	112	354	473	73	349	55	127	11	82	65	143	20	107	166	398	25	262	362	207	389	187	75	78	119	42	144	181	186	106	104	116	120	76	68	93	74	54	47	37	26	23	56	113	43	62	18	25	17	27	280	339	232	329	27	104	36	40	115	208	121	135	45	120	62	64
MD7047_Left_lobe_Cl.23	313	142	30	141	105	169	8	94	78	118	15	111	178	373	14	331	7	62	3	28	13	55	1	22	15	37	4	34	24	134	1	84	454	602	112	429	75	156	15	140	66	196	22	163	252	509	38	341	276	173	329	193	71	51	136	40	116	125	144	95	94	98	106	59	71	119	123	71	32	40	24	35	66	110	65	82	25	40	20	30	288	338	215	319	29	87	43	60	96	189	100	148	56	90	41	61
MD7047_Left_lobe_Cl.24	64	33	10	30	29	47	2	31	35	24	1	34	49	103	2	80	5	11	0	5	9	20	0	10	1	3	2	10	13	42	1	20	152	213	42	169	29	56	11	38	27	82	12	57	78	172	9	151	71	37	70	37	13	20	19	7	28	34	32	19	31	15	23	20	26	32	38	19	10	14	7	10	20	25	14	18	10	9	5	17	83	88	64	98	9	22	12	13	28	72	32	34	9	18	10	15
MD7047_Left_lobe_Cl.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MD7047_Left_lobe_Cl.26	112	28	12	56	38	60	2	37	39	42	6	48	86	127	6	114	7	9	2	12	7	19	4	10	7	15	2	9	14	47	0	28	264	299	71	253	54	80	6	66	45	107	26	91	140	282	24	190	80	60	97	53	17	18	35	15	34	37	39	44	34	25	31	23	44	57	63	31	27	16	13	25	29	40	25	33	12	20	18	20	135	130	98	150	10	37	17	20	40	73	51	68	19	33	12	37
MD7047_Left_lobe_Cl.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
