MD6812a_lo0002,_lo0003,_lo0005,_lo0008,_lo0009,_lo0010,_lo0014,_lo0017,_lo0019,_lo0063,_lo0066,_lo0068,_lo0069,_lo0081,_lo0086,_lo0087,_lo0097,_lo0098,_lo0099,_lo0100,_lo0101,_lo0102,_lo0103,_lo0104,_lo0105,_lo0106,_lo0107,_lo0108,_lo0109,_lo0110,_lo0111,cluster_id,no.of.mutations.assigned
0.000137371,0.000147148,0.00049897,0.000170723,0.000142671,0.000250884,0.000407066,0.000322547,0.000311853,0.000241396,0.000146099,0.00022707,0.000225355,0.000520802,0.000251729,0.000170281,0.000191031,0.000239113,0.094443967,0.025185564,0.000144157,0.000155623,0.411895642,0.000434489,0.000442088,0.000264097,0.000291994,0.000299175,0.000510102,0.000897811,0.000897702,Cl.1,1675
0.000632028,0.001365761,0.240850133,0.000457215,0.00235479,0.001175784,0.000299715,0.000219075,0.000516071,0.000636885,0.00039428,0.000806277,0.000401686,0.002776391,0.000709833,0.001159931,0.000377626,0.000340874,0.002004284,0.00049407,0.000294587,0.000308616,0.000489802,0.000534991,0.000374119,0.00077186,0.001038241,0.000642596,0.000720161,0.001106998,0.000839025,Cl.2,131
0.000229499,0.000149905,0.00028128,0.754901805,0.000297657,0.000360122,0.000297715,0.00022823,0.65395743,0.000340934,0.491556567,0.495600253,0.356293244,0.661199008,0.00011237,0.925734992,0.000223954,0.00012799,0.000176539,0.000425363,0.00029299,0.000274485,0.000341896,0.000250286,0.000315541,0.000557525,0.000432668,0.000483542,0.000272764,0.000812022,0.000468539,Cl.3,4708
0.001258956,0.000351386,0.000834006,0.29825917,0.000338004,0.000268411,0.000446123,0.000246343,0.191553176,0.001351428,0.143157218,0.111681093,0.117049725,0.255513052,0.092617548,0.218250045,0.000232694,0.000527078,0.001122171,0.000908044,0.000148814,0.000156299,0.000260922,0.000359001,0.00195267,0.00053194,0.00160092,0.001135061,0.000442155,0.00112406,0.00048357,Cl.4,278
0.081415694,0.082269559,0.085275377,0.077278788,0.089703224,0.075831045,0.090405801,0.08644698,0.081539382,0.081210604,0.074195834,0.073466751,0.076988708,0.072651036,0.086188738,0.079638974,0.089279913,0.070072752,0.071311696,0.07456412,0.073236615,0.06954798,0.093477373,0.068359981,0.08298823,0.069016006,0.072565909,0.080561368,0.073334487,0.071004634,0.079257101,Cl.5,500
0.045240876,0.054919424,0.049677315,0.060937144,0.041973855,0.049532496,0.055206875,0.03330583,0.053230905,0.048432075,0.03982124,0.037413358,0.044057026,0.035064393,0.035346544,0.044115482,0.035514076,0.030526713,0.041164966,0.025894804,0.029051829,0.032273499,0.028397898,0.02861907,0.042833258,0.03353712,0.026157194,0.031468231,0.029954698,0.029156934,0.045056733,Cl.6,357
0.000303625,0.000320602,0.000189101,0.000221291,0.000310795,0.000249846,0.000413397,0.000259824,0.000467593,0.000351144,0.000474219,0.00137817,0.000171641,0.000807188,0.000809597,0.000219365,0.000202005,0.000486406,0.000262698,0.000312012,0.000534631,0.000568113,0.000233654,0.000326227,0.00049437,0.001070247,0.000723946,0.001130505,0.176089308,0.00031755,0.302123794,Cl.11,322
0.000293996,0.000624458,7.34E-05,0.000225542,0.000447704,0.000399797,0.000482662,0.000379072,0.000207781,0.000902694,0.00056837,0.000441901,7.41E-05,0.000546962,0.000564016,0.000377747,0.068537312,0.001029015,0.000333363,0.000639216,0.044514035,0.000322424,0.000503194,0.000286123,0.327470144,0.008572928,0.000421631,0.000373799,0.020153615,0.199307359,0.017213787,Cl.12,743
0.000185583,0.000425693,0.000114204,0.000477129,0.000196882,0.000426728,0.0004566,0.000135598,0.000267761,0.000453077,0.192231825,0.000565639,0.404264204,0.000208889,0.000456069,0.000223926,0.000330245,0.000455565,0.00045478,0.000208049,0.000543621,0.000252157,0.000484987,0.000466394,0.00047046,0.000690315,0.000460223,0.000707102,0.000632563,0.001050124,0.000703731,Cl.15,1255
0.000367629,0.000153381,0.000361229,0.000115038,0.000396016,0.000503877,0.000202432,0.000297845,0.0002671,0.000434354,0.00038668,0.000103091,0.000734697,0.000683678,0.000187258,0.00012401,0.326188672,0.022070202,0.000137311,0.000631212,0.180642088,0.01867032,0.000482875,0.000371274,0.000660974,0.000429917,0.000838013,0.000386725,0.000307595,0.001747997,0.001452173,Cl.18,574
0.000140205,0.000375352,0.000236037,0.758320816,0.000383453,0.00024349,0.000452129,0.000217302,0.657123605,0.000328791,0.728503126,0.493789259,0.636360468,0.653910387,0.812074313,0.928626344,0.000184028,0.00033942,0.000331213,0.000265567,0.000215195,0.000266107,0.000333612,0.00027641,0.00033849,0.000401477,0.000434754,0.000429359,0.000316328,0.000890783,0.000702764,Cl.19,4797
0.00267317,0.003219675,0.001970937,0.002644816,0.002760271,0.002622065,0.002772938,0.002106788,0.003510504,0.002375581,0.002546441,0.0024849,0.002263972,0.001951434,0.001863519,0.002212874,0.002071486,0.002483492,0.002322151,0.002834611,0.002875865,0.002140378,0.001635942,0.003207981,0.00397612,0.004025632,0.003902375,0.004450161,0.003236611,0.007740838,0.006708437,Cl.20,6536
