MD6812a_lo0022,_lo0023,_lo0025,_lo0026,_lo0028,_lo0030,_lo0032,_lo0035,_lo0043,_lo0046,_lo0048,_lo0049,_lo0050,_lo0051,_lo0059,_lo0073,_lo0076,_lo0097,_lo0098,_lo0099,_lo0100,_lo0101,_lo0102,_lo0103,_lo0104,_lo0105,_lo0106,_lo0107,_lo0108,_lo0109,_lo0110,_lo0111,cluster_id,no.of.mutations.assigned
0.000174854,0.00027271,0.000305961,0.000271454,0.000304879,4.38E-05,0.000133944,0.000124253,0.00024936,5.26E-05,0.000241179,0.000341663,0.000180003,0.000533714,0.000228349,0.000515905,0.000170176,0.000197324,0.000249545,0.094810629,0.026328637,0.000143227,0.000557537,0.41371025,0.001296052,0.000526472,0.000272097,0.000298433,0.000308664,0.000527028,0.000872013,0.000879575,Cl.2,1682
0.071893505,0.05232211,0.052491739,0.046777834,0.049340754,0.078337692,0.064960053,0.043079474,0.038478981,0.041181403,0.036753417,0.051299166,0.061437214,0.045894198,0.046571998,0.051537478,0.03731327,0.026856467,0.027434277,0.037039626,0.025376267,0.023687288,0.024583899,0.019992676,0.024119374,0.037163878,0.029177972,0.023438354,0.027806904,0.023908187,0.026261792,0.04300133,Cl.4,336
0.075480235,0.075431034,0.072151105,0.074992554,0.086840004,0.059877119,0.072032501,0.079904871,0.082281195,0.061772385,0.076067016,0.078761077,0.076197093,0.09178262,0.055197002,0.073958278,0.059335149,0.082232552,0.064432682,0.066064684,0.064227332,0.066035243,0.065656339,0.090422414,0.064256603,0.07786595,0.060996269,0.064092014,0.07159093,0.06846038,0.065186996,0.070038597,Cl.5,481
0.000325743,0.000363631,0.000110112,0.310218845,0.00026452,0.000265934,0.000373752,0.000131829,0.000131451,0.000318463,0.167339979,0.000258397,0.000243597,0.000201543,0.000142083,0.000390406,0.003199042,0.000287575,9.29E-05,0.000167261,0.000332003,0.000345895,0.000237389,0.000278447,0.00039315,0.000444073,0.000344036,0.000383856,0.000496109,0.000400651,0.000944249,0.000816465,Cl.8,4499
0.000404496,0.000219466,0.677343093,0.00027055,6.33E-05,0.000143057,0.000177431,0.000242186,0.000251512,0.000435757,0.000203703,0.034980391,9.33E-05,0.00049158,0.000115662,0.00043192,0.104565843,0.000246726,0.000242222,0.00040455,0.000270063,0.000302923,0.000353483,0.000306591,0.000433652,0.000285863,0.000438922,0.000473062,0.000500016,0.000484616,0.000759726,0.000685851,Cl.9,1971
0.000677601,0.000692146,0.000400394,0.000196237,0.000530277,0.917277489,0.00078002,0.000912587,0.0778262,0.000213067,0.000294751,0.000127274,0.000469488,0.000273904,0.000191122,0.000386668,0.0002321,0.000395825,0.000623363,0.000379926,0.000382895,0.000603906,0.00017895,0.000815513,0.000283112,0.000371933,0.00043213,0.00049314,0.00104261,0.000422172,0.000709422,0.000688958,Cl.10,1638
0.000243023,0.000214629,0.000275411,0.000250057,0.000202308,0.713373459,0.000141609,0.000265702,0.000511288,0.000227838,0.000251448,0.000257814,0.000265729,0.000247026,0.000291409,0.000199999,0.000259469,0.000222073,0.000218115,0.000260549,0.0003252,0.000230707,0.000205475,0.000230347,0.000348434,0.000473824,0.000419615,0.000429846,0.000399339,0.000380423,0.000807138,0.000750995,Cl.11,19883
0.000369049,0.000292241,0.712101228,0.000404974,0.000197108,0.000252898,0.000298763,0.000306343,0.00042395,0.000340108,0.000261594,0.214948864,0.000331271,0.000249221,0.000173608,0.000630089,0.842593287,0.000257785,0.000341474,0.000256441,0.000241097,0.000332573,0.000225495,0.000299852,0.00025881,0.000448154,0.000326396,0.000409896,0.000668069,0.000260083,0.000869312,0.000677342,Cl.12,5982
0.002677091,0.001523797,0.001770474,0.000476715,0.00165675,0.001248254,0.003032993,0.003948748,0.077254589,0.002634846,0.000719118,0.001158167,0.00221292,0.000933713,0.003166357,0.001760831,0.00133645,0.001075742,0.001848246,0.001135227,0.002160656,0.001894026,0.001906308,0.000278617,0.002462903,0.002422113,0.004531641,0.004104311,0.004052407,0.002561403,0.007336395,0.004541189,Cl.13,1324
0.000264432,0.000244463,0.000197659,0.000261229,0.000263056,0.000271693,0.000181398,0.000286149,0.000258497,0.00030123,0.000305402,0.416633577,0.000335316,0.55432357,0.000274885,0.000567996,0.000481528,0.000237043,0.000318737,0.000301026,0.000325197,0.000310865,0.000298032,0.000235086,0.000378185,0.000365394,0.000374533,0.000380201,0.000533611,0.000366965,0.000791863,0.000584601,Cl.14,9781
