"","old_parent","old_child","Evidence","new_child","new_parent"
"1","5","21","very weak",17,16
"2","21","3","very weak",18,17
"3","3","18","very weak",22,18
"4","3","25","very weak",19,18
"5","25","41","very weak",10,19
"6","62","99","very weak",21,20
"7","99","56","very weak",11,21
"8","PD","5","strong",16,15
"9","18","62","very weak",20,22
"10","99","100","very weak",2,21
"11","30","40","very weak",24,23
"12","40","20","very weak",25,24
"13","PD","30","strong",23,15
"14","20","34","very weak",8,25
"15","21","31","very weak",27,17
"16","99","14","very weak",5,21
"17","5","8","very weak",26,16
"18","8","23","very weak",7,26
"19","99","84","very weak",13,21
"20","31","76","very weak",12,27
"21","30","42","very weak",28,23
"22","42","39","very weak",9,28
"23","30","9","very weak",14,23
"24","10","16","very weak",6,29
"25","30","13","very weak",4,23
"26","PD","10","strong",29,15
"27","PD","1","strong",1,15
"28","PD","12","strong",3,15
