MD7047d_lo0003,_lo0004,_lo0015,_lo0016,_lo0033,_lo0034,_lo0065,_lo0066,_lo0070,_lo0071,_lo0074,_lo0078,_lo0079,_lo0080,_lo0087,_lo0088,_lo0089,_lo0091,_lo0093,_lo0095,_lo0096,_lo0101,_lo0102,_lo0105,_lo0106,_lo0109,_lo0110,_lo0112,_lo0113,_lo0114,_lo0123,_lo0124,_lo0125,_lo0126,_lo0127,_lo0128,_lo0129,_lo0130,_lo0131,_lo0132,_lo0133,_lo0137,_lo0138,_lo0139,_lo0140,_lo0141,_lo0142,_lo0143,_lo0144,_lo0145,_lo0149,_lo0150,_lo0151,_lo0152,_lo0153,_lo0156,_lo0157,_lo0158,_lo0159,_lo0160,_lo0161,cluster_id,no.of.mutations.assigned
0.000222627,0.000330712,0.000349029,0.000299658,0.00029134,0.333752086,0.000188758,0.000230341,0.000279718,0.000267904,0.00023398,0.000255956,0.000294177,0.000297377,0.000233231,0.000200477,0.000209845,0.000301743,0.000247656,0.000260436,0.000305946,0.000214158,0.000242892,0.000333818,0.000274442,0.000263475,0.000207681,0.000195632,0.000224341,0.000343716,0.000205386,0.000253179,0.000287444,0.000256969,0.000290353,0.00027663,0.000307167,0.000313352,0.000247225,0.00023491,0.000363596,0.000223164,0.000237645,0.000275406,0.000250313,0.000334434,0.000297765,0.000364207,0.00024345,0.000300297,0.000379261,0.000406372,0.000181585,0.000255102,0.000244132,0.000269836,0.000389158,0.000312789,0.000235733,0.000214917,0.000342786,Cl.1,17551
0.644730753,0.814961197,0.876761713,0.861024943,0.000684045,0.000699451,0.000488102,0.42426053,0.000647916,0.000648417,0.00072574,0.000515127,0.000646438,0.000697848,0.391653977,0.951030282,0.040311166,0.791679065,0.476575802,0.00054207,0.000405785,0.950121745,0.605668325,0.00071261,0.000608313,0.000717195,0.000680815,0.00082855,0.000955062,0.000526119,0.00049184,0.000522948,0.000606643,0.000577125,0.000764995,0.596870951,0.000530187,0.000572454,0.000764707,0.000471882,0.001158288,0.000556398,0.000497488,0.000636181,0.000803966,0.000664254,0.000583563,0.000414786,0.000961626,0.000726,0.000601103,0.000681188,0.000373855,0.000336805,0.00051999,0.000352631,0.001166089,0.00075493,0.000778386,0.000856529,0.000597472,Cl.3,1288
0.642640774,0.821822738,0.88030431,0.870112984,0.000357207,0.000312295,0.000232016,0.427119989,0.000449098,0.000353535,0.66740093,0.330379773,0.845561205,0.808871358,0.397554451,0.950220286,0.039699438,0.799321495,0.48623903,0.896982859,0.893386068,0.956298472,0.608419173,0.000328985,0.000399127,0.60120735,0.000438587,0.001108721,0.870901408,0.915397098,0.000237147,0.000399637,0.000334715,0.000436029,0.615294894,0.605122461,0.000367472,0.000424329,0.000397536,0.000383217,0.000374288,0.00035699,0.000339244,0.000347174,0.00026025,0.001697535,0.000581165,0.000324803,0.000301643,0.00035703,0.000458548,0.000576866,0.000486847,0.000342324,0.000289797,0.00047475,0.000299436,0.000344143,0.000468992,0.00030936,0.000496769,Cl.5,5167
0.000292411,0.000374458,0.000384354,0.000333844,0.000264639,0.00028478,0.000227288,0.000249064,0.000290342,0.000270323,0.000291681,0.00031398,0.298649686,0.774863816,0.000253978,0.000283784,0.000307903,0.000308201,0.000309156,0.00027833,0.000281274,0.000274775,0.00033838,0.00023449,0.000229002,0.000289926,0.000235287,0.000291023,0.000357825,0.000392722,0.000236277,0.000244937,0.000311993,0.000176293,0.000302889,0.000378613,0.000340112,0.000412304,0.000327758,0.000390199,0.000353938,0.000318572,0.00026309,0.000332223,0.00027511,0.000438152,0.000263478,0.000326136,0.000345417,0.000338458,0.000431245,0.000386672,0.000285732,0.000322509,0.000319759,0.000398041,0.000472905,0.000370573,0.00034255,0.000184343,0.000367845,Cl.8,9413
0.000239221,0.000304587,0.000280719,0.000321958,0.000323302,0.000288613,0.000276681,0.000273417,0.000283403,0.000276249,0.000276989,0.000327435,0.000252614,0.000277217,0.000313087,0.000221787,0.000317197,0.000262046,0.000273349,0.000304265,0.0002623,0.000299088,0.00028323,0.000238195,0.000242368,0.00028778,0.660846946,0.358642619,0.000303364,0.000331738,0.000313787,0.000203713,0.000260257,0.000243247,0.000244772,0.00025696,0.00036536,0.000329205,0.000300351,0.000326885,0.000264666,0.000268038,0.000347721,0.00033245,0.00025584,0.000402886,0.000270521,0.000358608,0.005153488,0.000364059,0.000442239,0.000416277,0.000221024,0.0002779,0.000489284,0.000312504,0.000378657,0.000300904,0.00046244,0.000349349,0.000292529,Cl.9,9377
0.000202282,0.000286679,0.000326713,0.00038007,0.000343156,0.000313659,0.000259405,0.000285183,0.000289406,0.000254598,0.000266808,0.000219782,0.000275853,0.000307092,0.000263398,0.000246936,0.000275174,0.000305315,0.000262755,0.00030465,0.000239364,0.000241425,0.000289078,0.000243983,0.000202259,0.000247329,0.000203311,0.000223572,0.000280075,0.000318266,0.000187999,0.000296529,0.00022989,0.000174976,0.000303648,0.000313087,0.000269753,0.000254546,0.000311633,0.000332728,0.000335228,0.000275041,0.000369602,0.000327976,0.000257426,0.001165457,0.344360566,0.22272403,0.003843021,0.000276677,0.000340508,0.000396499,0.000213416,0.000356369,0.000253442,0.000286312,0.000377074,0.000256365,0.000252764,0.000303368,0.000243142,Cl.10,12969
0.000282756,0.000276334,0.000391482,0.000330271,0.000284742,0.000321421,0.000250028,0.000255182,0.00028283,0.00035362,0.000261168,0.000272635,0.00023374,0.000325382,0.000243441,0.000266675,0.0002685,0.000231243,0.000216041,0.000340856,0.000280511,0.000336833,0.000245601,0.00029438,0.000266316,0.000253807,0.000243687,0.000233086,0.000233042,0.000215202,0.000184638,0.000207964,0.000239945,0.000232066,0.000300061,0.00030785,0.00154714,0.034108264,0.000387802,0.000307707,0.000342345,0.07733329,0.000321436,0.000340152,0.000311735,0.000290084,0.000332112,0.000310767,0.000268731,0.000331625,0.100393521,0.145264899,0.000467983,0.000272567,0.000316732,0.092566284,0.000366974,0.000365432,0.000352236,0.000255526,0.000357721,Cl.12,11958
0.000254899,0.000344307,0.000257906,0.000288546,0.00036213,0.000310742,0.00021967,0.000249993,0.000287477,0.000331319,0.000215167,0.000282485,0.000273416,0.000246015,0.000225721,0.000308574,0.000260143,0.000221359,0.000248856,0.000290352,0.000236857,0.000272425,0.000309563,0.000269179,0.000197295,0.000251512,0.000372212,0.000414629,0.000306434,0.000278459,0.000222818,0.000256437,0.000325726,0.000269955,0.000382184,0.000278118,0.03473425,0.000489771,0.000282648,0.000283513,0.00049325,0.000580114,0.016173616,0.047489513,0.000230253,0.065235899,0.000310816,0.000271522,0.149006002,0.00036202,0.000383914,0.000408295,0.000259309,0.000352806,0.000314227,0.000400755,0.045910241,0.014982987,0.000254603,0.000269763,0.027700274,Cl.13,8317
0.000481521,0.000549278,0.000532643,0.00042466,0.000495498,0.000407593,0.000334532,0.000422101,0.000310482,0.000477615,0.000347548,0.261695436,0.000372848,0.00040095,0.000356464,0.000377573,0.000293806,0.000364719,0.000518071,0.00043353,0.000517693,0.000393196,0.000332001,0.00042467,0.000415677,0.350843624,0.000347579,0.000930235,0.000246251,0.000334078,0.000275958,0.000341138,0.000393925,0.000322792,0.370933666,0.000697874,0.000382341,0.000497133,0.000349769,0.000318457,0.000405292,0.000362481,0.000406194,0.000279328,0.000510758,0.00036785,0.000450039,0.000386575,0.000537567,0.00022605,0.000467431,0.000571234,0.000556465,0.000355089,0.000300371,0.000375139,0.000601919,0.000506899,0.000465304,0.000325755,0.000333922,Cl.14,2795
0.00121142,0.001507179,0.001634636,0.001760044,0.000859487,0.001541662,0.001270582,0.0012528,0.001370879,0.001469011,0.001111293,0.001414648,0.000850802,0.001706931,0.001209806,0.001279695,0.00142481,0.001489397,0.001885193,0.001415112,0.001497616,0.001332042,0.001430462,0.001220123,0.001193743,0.001394683,0.001112251,0.001326494,0.001102136,0.001465962,0.001052265,0.001228981,0.001286195,0.001361342,0.001297916,0.001498524,0.001113778,0.001381819,0.00482512,0.001623125,0.00152076,0.001347766,0.001207839,0.000937641,0.001016174,0.001333439,0.001519034,0.000573754,0.0004667,0.001500791,0.001671894,0.001667593,0.00398138,0.000608074,0.072209855,0.001112813,0.000886097,0.001640424,0.003868691,0.000898796,0.001165634,Cl.15,28882
