"","old_parent","old_child","Evidence","new_child","new_parent"
"1","PD","40","strong",25,24
"2","40","92","very weak",26,25
"3","92","26","very weak",27,26
"4","40","32","very weak",11,25
"5","26","89","very weak",21,27
"6","29","1","very weak",1,28
"7","40","29","very weak",28,25
"8","15","41","very weak",30,29
"9","41","37","very weak",31,30
"10","37","51","very weak",32,31
"11","51","46","very weak",14,32
"12","90","8","very weak",20,33
"13","29","23","very weak",9,28
"14","40","33","very weak",12,25
"15","92","19","very weak",7,26
"16","26","24","very weak",34,27
"17","24","63","very weak",17,34
"18","40","3","very weak",10,25
"19","40","50","medium",16,25
"20","26","12","very weak",3,27
"21","26","65","very weak",18,27
"22","37","17","very weak",35,31
"23","90","94","very weak",23,33
"24","17","90","very weak",33,35
"25","41","11","very weak",2,30
"26","PD","15","strong",29,24
"27","41","16","very weak",5,30
"28","10","9","very weak",22,36
"29","10","18","very weak",6,36
"30","PD","10","strong",36,24
"31","PD","5","strong",15,24
"32","PD","7","strong",19,24
"33","PD","13","strong",4,24
"34","PD","22","strong",8,24
"35","PD","43","strong",13,24
