MD7047d_lo0025,_lo0028,_lo0033,_lo0034,_lo0035,_lo0036,_lo0037,_lo0038,_lo0039,_lo0040,_lo0041,_lo0042,_lo0045,_lo0047,_lo0048,_lo0049,_lo0050,_lo0054,_lo0055,_lo0056,_lo0057,_lo0058,_lo0059,_lo0061,_lo0062,_lo0116,_lo0117,_lo0118,_lo0119,_lo0120,_lo0121,_lo0129,_lo0130,_lo0131,_lo0132,_lo0133,_lo0134,_lo0135,_lo0136,_lo0137,_lo0138,_lo0139,_lo0140,_lo0141,_lo0146,_lo0147,_lo0148,_lo0149,_lo0150,_lo0151,_lo0152,_lo0153,_lo0154,_lo0155,_lo0156,_lo0157,_lo0158,_lo0159,_lo0160,_lo0161,cluster_id,no.of.mutations.assigned
0.000346708,0.418434124,0.000325405,0.000350507,0.000357035,0.000406401,0.000342279,0.000321453,0.000326255,0.000419711,0.000359273,0.000344815,0.000319864,0.000414802,0.000383509,0.000399756,0.000299777,0.000291086,0.000255113,0.000334466,0.000246912,0.000330403,0.000293581,0.000303981,0.000405359,0.000395872,0.000265398,0.000204988,0.000312256,0.000321107,0.000314189,0.000377941,0.000332158,0.000282695,0.000316066,0.000477493,0.000408187,0.000382986,0.000303425,0.000414497,0.000282982,0.000269579,0.000317011,0.000641112,0.000422782,0.000443554,0.000324601,0.000428754,0.000485976,0.000296506,0.000230327,0.000342818,0.000405248,0.000442737,0.0002593,0.000347064,0.000421964,0.000450043,0.000259998,0.000255725,Cl.1,7785
0.000386473,0.00036947,0.000318311,0.000337848,0.001760087,0.000356632,0.000335416,0.199326713,0.554957262,0.00032073,0.02254251,0.000303965,0.000337401,0.000349123,0.000275833,0.000308778,0.000371643,0.000252523,0.000282847,0.000372959,0.000319252,0.000346607,0.000248343,0.000346923,0.000346352,0.000435887,0.000373964,0.000288101,0.000345041,0.000370349,0.000310319,0.00033028,0.00026645,0.000286283,0.000359006,0.000226582,0.000400599,0.000236205,0.000400467,0.000320045,0.000313079,0.000360092,0.000316961,0.000517732,0.000297368,0.000411336,0.000401873,0.000515884,0.000587605,0.000337707,0.000447967,0.000289782,0.000328688,0.000353526,0.000458982,0.000330192,0.000400921,0.00028939,0.00030816,0.000256011,Cl.3,9995
0.000252967,0.000326017,0.000286868,0.000276808,0.000274221,0.000286753,0.000279118,0.000286999,0.000314414,0.000298841,0.000270581,0.000242671,0.000294936,0.000298598,0.00032332,0.000289799,0.000248134,0.00024708,0.000280145,0.000276808,0.000314632,0.000264778,0.000230272,0.000296392,0.00029378,0.000413753,0.00031243,0.000309598,0.000286051,0.000259254,0.000303244,0.000272154,0.000426943,0.000269538,0.031063516,0.14068856,0.000328363,0.000282567,0.000331499,0.000340295,0.00031305,0.000245382,0.00093132,0.000467122,0.000372152,0.000333711,0.0003394,0.000429288,0.000408602,0.00055405,0.367511026,0.000831607,0.000360308,0.000395489,0.000297837,0.000356242,0.000365927,0.004100269,0.000177559,0.000250296,Cl.5,17265
0.000201747,0.000318182,0.000327725,0.000451443,0.000366049,0.000320844,0.000386027,0.00017364,0.000338619,0.000419446,0.000353416,0.00029571,0.000316997,0.000345884,0.000321603,0.000248156,0.000206257,0.000350235,0.00036021,0.000302785,0.000258299,0.000288079,0.000307574,0.000380343,0.00044798,0.000264505,0.000510785,0.000253669,0.000343448,0.000278024,0.000341119,0.000390041,0.000409589,0.000407645,0.000352704,0.001004608,0.000415053,0.000385535,0.000321683,0.000331234,0.000443318,0.000395971,0.279130959,0.0004264,0.000283866,0.000446606,0.000402538,0.000449977,0.000423405,0.000324821,0.000343143,0.000804291,0.000549658,0.000459499,0.000320467,0.000424137,0.000392669,0.00246506,0.211311647,0.000762056,Cl.7,7196
0.000253582,0.000336566,0.000290482,0.181009213,0.000277128,0.000356061,0.000310878,0.00030159,0.000252923,0.00029687,0.000281021,0.000277863,0.000338538,0.000261149,0.000341184,0.000253149,0.00022808,0.000270618,0.000282909,0.000259464,0.000232114,0.000226527,0.000234444,0.00027215,0.000271269,0.000334263,0.000336803,0.000237147,0.163785305,0.000308813,0.000241595,0.000291384,0.000327891,0.000248667,0.000243969,0.000347302,0.000364893,0.000279018,0.000280545,0.000185571,0.000242995,0.000266843,0.000275057,0.000378735,0.000338896,0.000290055,0.000317549,0.000424309,0.000412537,0.000285389,0.000259609,0.000252007,0.000364932,0.000324978,0.000285361,0.000359953,0.000324582,0.000264332,0.000219345,0.000422371,Cl.8,23076
0.00029773,0.000344041,0.000330717,0.000357291,0.000298211,0.000347246,0.000317825,0.000329816,0.000368086,0.000325811,0.00042631,0.000385591,0.000386261,0.000312371,0.000326995,0.000322798,0.000291855,0.00039901,0.000400501,0.000299501,0.000308425,0.000430585,0.000352726,0.000439641,0.000347743,0.000410858,0.000434089,0.000378731,0.00038807,0.000375016,0.000242629,0.000325707,0.000375193,0.000347377,0.000323766,0.000342389,0.000360111,0.000833246,0.107007647,0.000255555,0.000352623,0.000333141,0.000271264,0.000422007,0.000577928,0.09946444,0.000771617,0.000474993,0.000525037,0.00040469,0.000429259,0.000322519,0.005035259,0.208410671,0.000458058,0.000446773,0.000472544,0.000362991,0.00021649,0.000253542,Cl.9,5115
0.004386128,0.005917071,0.004717078,0.012875001,0.004967016,0.005341804,0.00468191,0.004527798,0.005188144,0.006016998,0.005657965,0.004374057,0.00615118,0.00475684,0.004855425,0.007098662,0.005331933,0.004976104,0.005475589,0.00456575,0.004864547,0.005640681,0.005275394,0.004745475,0.004488742,0.004850337,0.004642012,0.005447019,0.004669153,0.004347081,0.006333886,0.008126677,0.006085586,0.004943216,0.004307706,0.005968059,0.004263111,0.004325452,0.141606415,0.004232945,0.005004669,0.005105059,0.005116095,0.00741139,0.006569559,0.22738681,0.512072552,0.013121925,0.010696224,0.005060078,0.006273524,0.005250402,0.005548874,0.193635682,0.007833896,0.005675205,0.00407897,0.00482339,0.004554709,0.005461861,Cl.10,131
0.000328649,0.000301616,0.00029532,0.000363873,0.000286323,0.000406952,0.000238013,0.00021556,0.000321109,0.000327519,0.000326119,0.00031111,0.000290525,0.000293776,0.000342714,0.000301555,0.000334689,0.000312674,0.000321574,0.128721646,0.000266929,0.000354506,0.000345704,0.000345092,0.006107071,0.000285543,0.601339577,0.000366325,0.000325718,0.000338531,0.000308195,0.000273144,0.000359994,0.000289658,0.000427814,0.00024555,0.000365921,0.00029527,0.000267594,0.000377762,0.000399489,0.000391169,0.000313312,0.000472782,0.000325294,0.000343813,0.000451592,0.00041353,0.000457772,0.000426713,0.000366763,0.000280209,0.00038088,0.000375495,0.000413504,0.000444122,0.000439783,0.000375928,0.000223129,0.000405394,Cl.11,8500
0.031402451,0.000342943,0.000394217,0.000307141,0.000378664,0.000316301,0.003774919,0.000200661,0.000289132,0.000399398,0.370709222,0.219923162,0.000444742,0.000426689,0.000429045,0.000319814,0.00028612,0.000287082,0.000490195,0.000276835,0.000354191,0.000371749,0.000313036,0.000455473,0.000369306,0.000370002,0.000182629,0.000299887,0.000360049,0.000348352,0.000382647,0.00043443,0.000277534,0.000405615,0.000284457,0.000351653,0.000335366,0.00016155,0.000396628,0.000354729,0.000437284,0.000334915,0.000304678,0.000325422,0.000354222,0.000397839,0.000345316,0.000468439,0.000520882,0.000403432,0.000378918,0.00027861,0.000471775,0.000346424,0.000249944,0.000325188,0.000420713,0.000386095,0.000323108,0.000565662,Cl.12,6570
0.000223443,0.00036611,0.00030194,0.000256219,0.000262992,0.000363093,0.000260173,0.000152595,0.000236831,0.000218009,0.000205476,0.00031362,0.000247328,0.000278101,0.00026153,0.000213729,0.000186272,0.000251687,0.000326819,0.00017007,0.000253643,0.000321119,0.00026378,0.000123782,0.000349844,0.000239431,0.000362719,0.000168499,0.000247403,0.000275379,0.000287501,0.000387221,0.041460873,0.000343402,0.000279611,0.000263006,0.000310179,0.000249932,0.000328676,0.005830369,0.00025051,0.000330283,0.000330319,0.000256397,0.000283165,0.000423352,0.000402038,0.121686962,0.175235694,0.000373444,0.000238933,0.000328061,0.000318025,0.000361947,0.111220028,0.00027678,0.000346076,0.000357569,0.000251552,0.000378575,Cl.13,10232
