gene_name	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv	pmis_cv	ptrunc_cv	pallsubs_cv	pind_cv	qmis_cv	qtrunc_cv	qallsubs_cv	qind_cv	pglobal_cv	qglobal_cv	wall_cv	sd
TP53	0	2	1	0	2	3086.61060587056	14007.9086647357	14007.9086647357	8776.23434856176	1.60670653467365e-05	3.55577085893177e-05	7.84033713918664e-06	4.67623976815393e-05	0.282764283037216	0.625780113463403	0.137982093312546	0.753515343834393	8.33234270469774e-09	0.000146640899259975	85.4725963530315	77.2252391678305
KRAS	0	0	0	0	1	0	0	0	9099.56929824562	0.980692913786236	0.99374293133505	0.999676477676729	8.5631609049877e-05	0.991731327682905	0.999916937218764	0.999963603638812	0.753515343834393	0.000887351219912236	0.999999999337644	0	0
FAT1	3	0	0	0	1	0	0	0	376.752705745624	0.0835848753434645	0.514552259637223	0.201841480016483	0.000493346463693398	0.991731327682905	0.999916937218764	0.999963603638812	1	0.00101714435829925	0.999999999337644	0	0
KMT2D	0	0	0	0	2	0	0	0	624.383592151198	0.896342570397309	0.962145677605547	0.99043295357067	0.000355948372058623	0.991731327682905	0.999916937218764	0.999963603638812	1	0.00315537897427298	0.999999999337644	0	0
CSMD3	0	2	1	0	0	358.792232221315	1572.66737919764	1572.66737919764	0	0.000456649955812738	0.000361315605255985	0.000485391657436551	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.00418919912995874	0.999999999337644	9.65729805709478	8.58339347940777
CTNND2	0	0	1	0	0	0	5221.31117836777	5221.31117836777	0	0.949092299157518	0.000100814474909283	0.000519453346669918	1	0.991731327682905	0.878993805927887	0.999963603638812	1	0.00444794060217735	0.999999999337644	26.1065558918388	36.9202454090897
NOTCH1	0	0	1	0	0	0	3593.38192286767	3593.38192286767	0	0.925621222954786	0.000149837003112885	0.00075297014247544	1	0.991731327682905	0.878993805927887	0.999963603638812	1	0.0061679436142662	0.999999999337644	17.9669096143384	25.4090472505289
PTPRB	0	2	0	0	0	663.163324284413	0	0	0	0.000183198020853315	0.978577187076659	0.000868019650508978	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.0069869472784686	0.999999999337644	3.31581662142206	4.68927283635722
PTEN	0	1	0	0	0	1513.66359436018	0	0	0	0.000376390684952543	0.989613482275281	0.00179449148070443	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.0131411213988455	0.999999999337644	7.56831797180089	10.7032179200729
ZNF479	0	1	0	0	0	1158.54327455972	0	0	0	0.000501100962087553	0.989686405189958	0.00234407268758552	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.0165394613659957	0.999999999337644	5.79271637279861	8.19213805739248
HGF	0	1	0	0	0	795.988996908362	0	0	0	0.000749748420227125	0.986418671175168	0.00341019247777552	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.0227834500570965	0.999999999337644	3.97994498454181	5.62849217463781
CREBBP	0	1	0	0	0	267.862522932413	0	0	0	0.00243551796830033	0.975643798016075	0.0101055227729261	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.0565370973829917	0.999999999337644	1.33931261466206	1.89407406391246
CNTNAP2	2	0	0	0	0	0	0	0	0	0.33412408725307	0.740103936365876	0.605730478935396	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.909395371118786	0.999999999337644	0	0
ATM	1	0	0	0	0	0	0	0	0	0.924262896303574	0.970357566725217	0.994804404290354	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.999986479456526	0.999999999337644	0	0
MGA	0	0	0	0	0	0	0	0	0	0.924900052246723	0.972121593724628	0.994959303874815	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.999987274291137	0.999999999337644	0	0
APC	0	0	0	0	0	0	0	0	0	0.927221813819996	0.972690316412537	0.995253736427699	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.999988718628781	0.999999999337644	0	0
SETD2	0	0	0	0	0	0	0	0	0	0.928890138150101	0.972932068202643	0.995452704131073	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.99998964534299	0.999999999337644	0	0
NF1	0	0	0	0	0	0	0	0	0	0.929228734170994	0.973081491497237	0.995496775008334	1	0.991731327682905	0.999916937218764	0.999963603638812	1	0.999989845227798	0.999999999337644	0	0
