gene_name	n_syn	n_mis	n_non	n_spl	wmis_cv	wnon_cv	wspl_cv	pmis_cv	ptrunc_cv	pallsubs_cv	qmis_cv	qtrunc_cv	qallsubs_cv	wall_cv	sd
ARID1A	0	0	3	0	0	26448.4212346169	26448.4212346169	0.957018210819842	2.7773434130296e-07	1.44704312088351e-07	0.99549242686347	0.00488784667259079	0.00254665118844288	132.242106173085	187.018580066759
TP53	0	8	0	0	34728.3654511622	0	0	4.36366852651915e-07	0.994385896343193	1.70900611862201e-06	0.00767962023982105	1	0.0150383993408144	173.641827255811	245.566627100414
NFE2L2	0	2	0	0	5649.09273912525	0	0	3.497548385889e-05	0.992207730512296	0.00017256953979361	0.25566319508661	1	0.854151681435321	28.2454636956263	39.9451178338715
FBXW7	0	2	0	0	4752.50324078157	0	0	4.35814299255544e-05	0.991840702007243	0.000213542031980651	0.25566319508661	1	0.854151681435321	23.7625162039079	33.6052726916769
CSMD3	0	4	0	0	2047.66903631317	0	0	6.19788824444134e-05	0.982224713276859	0.000242670515777976	0.264583747612252	1	0.854151681435321	10.2383451815659	14.4792066120277
CTNND2	0	2	0	0	2399.50180461522	0	0	7.51701084187317e-05	0.991301972281446	0.000375799974012825	0.264583747612252	1	0.999985843225	11.9975090230761	16.9670399751278
SETD2	0	2	0	0	1316.45703238929	0	0	0.000181491118592891	0.982707172060105	0.000797549033443534	0.532343699352716	1	0.999985843225	6.58228516194643	9.30875694743182
BAP1	2	0	0	0	0	0	0	0.119943734322796	0.546594054384606	0.281728390611875	0.99549242686347	1	0.999985843225	0	0
KMT2D	0	0	0	0	0	0	0	0.936855205669929	0.982179551784599	0.996618126008888	0.99549242686347	1	0.999985843225	0	0
FAT1	0	0	0	0	0	0	0	0.942825390061365	0.982348732383743	0.997187397956267	0.99549242686347	1	0.999985843225	0	0
ATM	0	0	0	0	0	0	0	0.952981075794426	0.980202173614793	0.997955834166836	0.99549242686347	1	0.999985843225	0	0
MGA	0	0	0	0	0	0	0	0.952439892344918	0.982304776973685	0.997977433668566	0.99549242686347	1	0.999985843225	0	0
NOTCH1	0	0	0	0	0	0	0	0.952031000452125	0.991103188806543	0.998130179378352	0.99549242686347	1	0.999985843225	0	0
APC	0	0	0	0	0	0	0	0.954723610446807	0.98375993772474	0.998182725374763	0.99549242686347	1	0.999985843225	0	0
NF1	0	0	0	0	0	0	0	0.955304656991585	0.984330107221009	0.998238065628489	0.99549242686347	1	0.999985843225	0	0
PTPN13	0	0	0	0	0	0	0	0.957935571508875	0.981279098601521	0.998335091547451	0.99549242686347	1	0.999985843225	0	0
CREBBP	0	0	0	0	0	0	0	0.959196592611481	0.987003312687534	0.998559597195431	0.99549242686347	1	0.999985843225	0	0
PTPRB	0	0	0	0	0	0	0	0.959967913520206	0.986262182065387	0.998593038491062	0.99549242686347	1	0.999985843225	0	0
EP300	0	0	0	0	0	0	0	0.960828534394374	0.9848598155933	0.998614818520763	0.99549242686347	1	0.999985843225	0	0
DICER1	0	0	0	0	0	0	0	0.961270606152341	0.985293170630777	0.998652019002195	0.99549242686347	1	0.999985843225	0	0
PTPRD	0	0	0	0	0	0	0	0.962055319170463	0.98676031840719	0.998731452191858	0.99549242686347	1	0.999985843225	0	0
SMARCA4	0	0	0	0	0	0	0	0.963195267047142	0.991551043925655	0.998879913643928	0.99549242686347	1	0.999985843225	0	0
CUX1	0	0	0	0	0	0	0	0.963717458292806	0.989908771221725	0.99888600794505	0.99549242686347	1	0.999985843225	0	0
ARHGAP35	0	0	0	0	0	0	0	0.96663270218023	0.989545818351774	0.999039666342734	0.99549242686347	1	0.999985843225	0	0
DROSHA	0	0	0	0	0	0	0	0.967805505782733	0.986606601132555	0.999045059951943	0.99549242686347	1	0.999985843225	0	0
PTPRT	0	0	0	0	0	0	0	0.96710490977678	0.989065647387092	0.99905618655143	0.99549242686347	1	0.999985843225	0	0
ERBB4	0	0	0	0	0	0	0	0.968259038235907	0.988006589356726	0.999095729985643	0.99549242686347	1	0.999985843225	0	0
GRIN2A	0	0	0	0	0	0	0	0.967356180322554	0.991328997381805	0.999103945711378	0.99549242686347	1	0.999985843225	0	0
TERT	0	0	0	0	0	0	0	0.967364433232463	0.993180669569757	0.999126878035402	0.99549242686347	1	0.999985843225	0	0
CNTNAP2	0	0	0	0	0	0	0	0.968657922768781	0.989413870280021	0.999140433956961	0.99549242686347	1	0.999985843225	0	0
TSC1	0	0	0	0	0	0	0	0.969850912824624	0.989834000597209	0.99920490154252	0.99549242686347	1	0.999985843225	0	0
RASA1	0	0	0	0	0	0	0	0.971508945264585	0.988935114343252	0.999266295117499	0.99549242686347	1	0.999985843225	0	0
RBM10	0	0	0	0	0	0	0	0.970458665639806	0.992198105252573	0.999266737760195	0.99549242686347	1	0.999985843225	0	0
